'bout	ˈ b a ʊ t
'cause	k ə z
'course	ˈ k ɔ ɹ s
'cuse	ˈ k j u z
'em	ə m
'frisco	ˈ f ɹ ɪ s k o ʊ
'gain	ˈ ɡ ɛ n
'kay	ˈ k e ɪ
'm	ə m
'n	ə n
'round	ˈ ɹ a ʊ n d
's	ˈ ɛ s
'til	ˈ t ɪ ɫ
'tis	ˈ t ɪ z
'twas	ˈ t w ə z
a	ˈ e ɪ
a.	ˈ e ɪ
a.'s	ˈ e ɪ z
a.d.	ˌ e ɪ ˈ d i
a.m.	ˌ e ɪ ˈ ɛ m
a.s	ˈ e ɪ z
a's	ˈ e ɪ z
aaa	ˌ t ɹ ɪ p ə ˈ ɫ e ɪ
aaberg	ˈ ɑ b ɝ ɡ
aachen	ˈ ɑ k ə n
aachener	ˈ ɑ k ə n ɝ
aaker	ˈ ɑ k ɝ
aaliyah	ˌ ɑ ˈ ɫ i ˌ ɑ
aalseth	ˈ ɑ ɫ s ɛ θ
aamodt	ˈ ɑ m ə t
aancor	ˈ ɑ n ˌ k ɔ ɹ
aardema	ɑ ɹ ˈ d ɛ m ə
aardvark	ˈ ɑ ɹ d ˌ v ɑ ɹ k
aardvarks	ˈ ɑ ɹ d ˌ v ɑ ɹ k s
aargh	ˈ ɑ ɹ ɡ
aarhus	ˌ ɑ ˈ h u s
aaron	ˈ ɛ ɹ ə n
aaron's	ˈ ɛ ɹ ə n z
aarons	ˈ ɛ ɹ ə n z
aaronson	ˈ ɑ ɹ ə n s ə n
aaronson's	ˈ ɑ ɹ ə n s ə n z
aarti	ˈ ɑ ɹ ˌ t i
aase	ˈ ɑ s
aasen	ˈ ɑ s ə n
ab	ˈ æ b
aba	ˌ e ɪ ˌ b i ˈ e ɪ
ababa	ˈ ɑ b ə b ə
abacha	ˈ æ b ə k ə
aback	ə ˈ b æ k
abaco	ˈ æ b ə ˌ k o ʊ
abacus	ˈ æ b ə k ə s
abad	ə ˈ b ɑ d
abadaka	ə ˈ b æ d ə k ə
abadi	ə ˈ b æ d i
abadie	ə ˈ b æ d i
abair	ə ˈ b ɛ ɹ
abalkin	ə ˈ b ɑ ɫ k ɪ n
abalone	ˌ æ b ə ˈ ɫ o ʊ n i
abalones	ˌ æ b ə ˈ ɫ o ʊ n i z
abalos	ɑ ˈ b ɑ ɫ o ʊ z
abandon	ə ˈ b æ n d ə n
abandoned	ə ˈ b æ n d ə n d
abandoning	ə ˈ b æ n d ə n ɪ ŋ
abandonment	ə ˈ b æ n d ə n m ə n t
abandonments	ə ˈ b æ n d ə n m ə n t s
abandons	ə ˈ b æ n d ə n z
abanto	ə ˈ b æ n t o ʊ
abarca	ə ˈ b ɑ ɹ k ə
abare	ɑ ˈ b ɑ ɹ i
abascal	ˈ æ b ə s k ə ɫ
abash	ə ˈ b æ ʃ
abashed	ə ˈ b æ ʃ t
abasia	ə ˈ b e ɪ ʒ j ə
abate	ə ˈ b e ɪ t
abated	ə ˈ b e ɪ t ɪ d
abatement	ə ˈ b e ɪ t m ə n t
abatements	ə ˈ b e ɪ t m ə n t s
abates	ə ˈ b e ɪ t s
abating	ə ˈ b e ɪ t ɪ ŋ
abattoir	ˌ æ b ə t ˈ w ɑ ɹ
abba	ˈ æ b ə
abbado	ə ˈ b ɑ d o ʊ
abbas	ə ˈ b ɑ s
abbasi	ɑ ˈ b ɑ s i
abbate	ˈ ɑ b e ɪ t
abbatiello	ɑ b ɑ t i ˈ ɛ ɫ o ʊ
abbe	ˈ æ b i
abbenhaus	ˈ æ b ə n ˌ h a ʊ s
abbett	ə ˈ b ɛ t
abbeville	ˈ æ b v ɪ ɫ
abbey	ˈ æ b i
abbey's	ˈ æ b i z
abbie	ˈ æ b i
abbitt	ˈ æ b ɪ t
abbot	ˈ æ b ə t
abbotstown	ˈ æ b ə t ˈ s t a ʊ n
abbott	ˈ æ b ə t
abbott's	ˈ æ b ə t s
abbottstown	ˈ æ b ə t ˈ s t a ʊ n
abboud	ə ˈ b a ʊ d
abbreviate	ə ˈ b ɹ i v i ˌ e ɪ t
abbreviated	ə ˈ b ɹ i v i ˌ e ɪ t ɪ d
abbreviates	ə ˈ b ɹ i v i ˌ e ɪ t s
abbreviating	ə ˈ b ɹ i v i ˌ e ɪ t ɪ ŋ
abbreviation	ə ˌ b ɹ i v i ˈ e ɪ ʃ ə n
abbreviations	ə ˌ b ɹ i v i ˈ e ɪ ʃ ə n z
abbruzzese	ɑ b ɹ u t ˈ s e ɪ z i
abbs	ˈ æ b z
abby	ˈ æ b i
abc	ˈ e ɪ ˌ b i ˌ s i
abc's	ˈ e ɪ ˌ b i ˌ s i z
abco	ˈ æ b k o ʊ
abcotek	ˈ æ b k o ʊ ˌ t ɛ k
abcs	ˈ e ɪ ˌ b i ˌ s i z
abd	ˌ e ɪ ˌ b i ˈ d i
abdalla	ˌ æ b ˈ d æ ɫ ə
abdallah	ˌ æ b ˈ d æ ɫ ə
abdel	ˈ æ b ˌ d ɛ ɫ
abdella	ˌ æ b ˈ d ɛ ɫ ə
abdicate	ˈ æ b d ə ˌ k e ɪ t
abdicated	ˈ æ b d ə ˌ k e ɪ t ɪ d
abdicates	ˈ æ b d ə ˌ k e ɪ t s
abdicating	ˈ æ b d ɪ ˌ k e ɪ t ɪ ŋ
abdication	ˌ æ b d ɪ ˈ k e ɪ ʃ ə n
abdnor	ˈ æ b d n ɝ
abdo	ˈ æ b d o ʊ
abdollah	ˌ æ b ˈ d ɑ ɫ ə
abdomen	ˈ æ b d ə m ə n
abdominal	æ b ˈ d ɑ m ə n ə ɫ
abduct	æ b ˈ d ə k t
abducted	æ b ˈ d ə k t ɪ d
abductee	æ b ˌ d ə k ˈ t i
abductees	æ b ˌ d ə k ˈ t i z
abducting	æ b ˈ d ə k t ɪ ŋ
abduction	æ b ˈ d ə k ʃ ə n
abductions	æ b ˈ d ə k ʃ ə n z
abductor	æ b ˈ d ə k t ɝ
abductors	æ b ˈ d ə k t ɝ z
abducts	æ b ˈ d ə k t s
abdul	æ b ˈ d u ɫ
abdulaziz	æ b ˌ d u ɫ ə ˈ z i z
abdulla	ɑ b ˈ d u ɫ ə
abdullah	ˌ æ b ˈ d ə ɫ ə
abe	ˈ e ɪ b
abed	ə ˈ b ɛ d
abedi	ə ˈ b ɛ d i
abee	ə ˈ b i
abel	ˈ e ɪ b ə ɫ
abela	ɑ ˈ b ɛ ɫ ə
abelard	ˈ æ b ɪ ɫ ɝ d
abele	ə ˈ b ɛ ɫ
abeles	ˈ e ɪ b ə ˌ ɫ i z
abell	ˈ e ɪ b ə ɫ
abella	ə ˈ b ɛ ɫ ə
abeln	ˈ æ b ɪ ɫ n
abelow	ˈ æ b ə ɫ o ʊ
abels	ˈ e ɪ b ə ɫ z
abelson	ˈ æ b ɪ ɫ s ə n
abend	ˈ æ b ɛ n d
