epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.473048,0.077643,1772925982.867,1772926272.730
2,0.106381,0.046821,1772926276.211,1772926562.827
3,0.080343,0.047043,1772926566.646,1772926852.496
4,0.069564,0.051761,1772926852.497,1772927139.697
5,0.063495,0.033449,1772927139.698,1772927427.674
6,0.054949,0.034619,1772927431.229,1772927720.104
7,0.053023,0.033584,1772927720.105,1772928010.695
8,0.047856,0.031394,1772928010.696,1772928298.550
9,0.048121,0.029067,1772928302.433,1772928590.400
10,0.044539,0.033107,1772928594.058,1772928881.388
11,0.042278,0.027077,1772928881.388,1772929168.171
12,0.041280,0.028385,1772929171.700,1772929459.314
13,0.040896,0.027741,1772929459.314,1772929746.542
14,0.037962,0.027234,1772929746.543,1772930030.329
15,0.037088,0.027194,1772930030.329,1772930314.999
16,0.036486,0.027422,1772930315.000,1772930598.324
17,0.036398,0.024592,1772930598.324,1772930884.252
18,0.034007,0.028463,1772930887.647,1772931171.407
19,0.035291,0.027605,1772931171.408,1772931455.499
20,0.034609,0.026488,1772931455.500,1772931738.501
21,0.034219,0.023475,1772931738.502,1772932023.417
22,0.033306,0.023577,1772932027.552,1772932316.029
23,0.033650,0.025986,1772932316.030,1772932604.315
24,0.031414,0.025619,1772932604.315,1772932889.956
25,0.032215,0.022506,1772932889.956,1772933174.881
26,0.031268,0.023467,1772933178.446,1772933463.544
27,0.029658,0.023252,1772933463.545,1772933748.705
28,0.030233,0.021713,1772933748.705,1772934032.845
29,0.030117,0.026202,1772934036.286,1772934319.629
30,0.029847,0.025204,1772934319.630,1772934603.885
31,0.028480,0.022956,1772934603.885,1772934889.378
32,0.031173,0.023932,1772934889.379,1772935174.891
33,0.029902,0.021994,1772935174.891,1772935461.181
34,0.029801,0.022258,1772935461.181,1772935748.506
35,0.027073,0.022166,1772935748.506,1772936034.499
36,0.027736,0.022509,1772936034.500,1772936319.933
37,0.029716,0.024147,1772936319.934,1772936604.897
