epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.471420,0.068236,1773244586.613,1773244875.383
2,0.106501,0.050136,1773244879.360,1773245169.231
3,0.077010,0.041199,1773245173.344,1773245458.815
4,0.069819,0.042863,1773245462.745,1773245746.613
5,0.062149,0.036539,1773245746.614,1773246033.266
6,0.057946,0.033830,1773246037.458,1773246324.281
7,0.048488,0.034217,1773246328.374,1773246617.091
8,0.049298,0.030706,1773246617.091,1773246905.436
9,0.044201,0.028755,1773246909.660,1773247199.804
10,0.045218,0.032787,1773247203.979,1773247493.969
11,0.039456,0.026647,1773247493.969,1773247782.558
12,0.041465,0.027928,1773247786.791,1773248076.121
13,0.037727,0.026308,1773248076.122,1773248366.764
14,0.038232,0.027909,1773248370.777,1773248662.320
15,0.035628,0.026667,1773248662.321,1773248950.183
16,0.037028,0.023332,1773248950.184,1773249237.329
17,0.035709,0.032117,1773249241.107,1773249528.338
18,0.033816,0.023397,1773249528.338,1773249815.218
19,0.033882,0.023934,1773249815.219,1773250105.787
20,0.032735,0.021793,1773250105.787,1773250510.735
21,0.034096,0.025208,1773250514.480,1773250808.736
22,0.032991,0.024405,1773250808.736,1773251132.897
23,0.029562,0.024665,1773251132.897,1773251488.584
24,0.032797,0.022533,1773251488.584,1773251841.747
25,0.030816,0.023510,1773251841.747,1773252162.944
26,0.029706,0.023065,1773252162.944,1773252454.486
27,0.030802,0.022950,1773252454.486,1773252743.481
28,0.030053,0.022913,1773252743.481,1773253036.112
29,0.030376,0.024306,1773253036.113,1773253328.530
30,0.028185,0.021480,1773253328.530,1773253620.035
31,0.028620,0.022661,1773253624.169,1773253916.153
32,0.027705,0.020840,1773253916.153,1773254204.272
33,0.027810,0.037591,1773254208.250,1773254497.685
34,0.027726,0.020639,1773254497.685,1773254786.794
35,0.029423,0.020479,1773254790.662,1773255078.768
36,0.025311,0.022822,1773255082.683,1773255372.554
37,0.027769,0.022651,1773255372.554,1773255660.403
38,0.027065,0.021383,1773255660.403,1773255945.315
39,0.026189,0.021825,1773255945.316,1773256232.840
40,0.025488,0.021669,1773256232.841,1773256518.379
41,0.027444,0.020458,1773256518.380,1773256803.753
42,0.026159,0.022639,1773256807.276,1773257093.248
43,0.026475,0.021545,1773257093.248,1773257378.514
44,0.025469,0.020908,1773257378.514,1773257664.823
45,0.025246,0.020891,1773257664.823,1773257951.580
46,0.025023,0.020000,1773257951.581,1773258236.773
47,0.026296,0.021549,1773258240.807,1773258527.453
48,0.022877,0.020564,1773258527.454,1773258812.741
49,0.026782,0.021184,1773258812.741,1773259098.543
50,0.023909,0.021408,1773259098.543,1773259383.914
51,0.023928,0.019994,1773259383.914,1773259670.995
52,0.024341,0.022251,1773259674.962,1773259961.317
53,0.024148,0.019321,1773259961.317,1773260247.444
54,0.024041,0.020295,1773260251.444,1773260537.907
55,0.024958,0.022960,1773260537.907,1773260823.379
56,0.024664,0.020092,1773260823.379,1773261109.551
57,0.023908,0.018719,1773261109.551,1773261395.657
58,0.023933,0.020385,1773261399.624,1773261686.757
59,0.024359,0.019981,1773261686.758,1773261972.137
60,0.023038,0.019919,1773261972.138,1773262257.698
61,0.024077,0.020906,1773262257.699,1773262543.647
62,0.024682,0.020965,1773262543.647,1773262829.182
63,0.024044,0.021096,1773262829.182,1773263114.827
64,0.024522,0.020615,1773263114.827,1773263401.983
65,0.023313,0.022548,1773263401.983,1773263688.154
66,0.023141,0.022521,1773263688.155,1773263974.123
67,0.022762,0.020103,1773263974.124,1773264259.804
68,0.023822,0.021923,1773264259.804,1773264552.377
69,0.022716,0.021714,1773264552.378,1773264847.250
70,0.022412,0.031786,1773264847.250,1773265141.774
71,0.022869,0.026633,1773265141.774,1773265435.293
