epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.582130,0.058996,1771823479.238,1771823667.745
2,0.101303,0.040942,1771823671.957,1771823859.297
3,0.073010,0.032733,1771823863.271,1771824051.005
4,0.061576,0.028834,1771824055.323,1771824243.606
5,0.057248,0.028750,1771824247.834,1771824435.011
6,0.049119,0.026057,1771824439.362,1771824626.724
7,0.045646,0.023438,1771824631.200,1771824819.274
8,0.041684,0.025914,1771824823.758,1771825011.186
9,0.043733,0.028470,1771825011.186,1771825199.711
10,0.038218,0.021521,1771825199.712,1771825385.645
11,0.040229,0.021935,1771825389.662,1771825575.666
12,0.036690,0.022041,1771825575.666,1771825760.261
13,0.033290,0.020363,1771825760.263,1771825945.436
14,0.033400,0.021019,1771825949.447,1771826134.168
15,0.034096,0.021433,1771826134.168,1771826319.156
16,0.034903,0.018267,1771826319.157,1771826505.653
17,0.032013,0.020199,1771826509.624,1771826695.701
18,0.029058,0.019687,1771826695.701,1771826881.979
19,0.030563,0.019950,1771826881.980,1771827066.887
20,0.028892,0.020029,1771827066.887,1771827253.019
21,0.029958,0.018928,1771827253.020,1771827437.658
22,0.027339,0.018672,1771827437.659,1771827622.213
23,0.026714,0.017088,1771827622.214,1771827807.345
24,0.027038,0.017342,1771827811.274,1771827997.944
25,0.026581,0.017014,1771827997.944,1771828183.007
26,0.026794,0.018701,1771828187.050,1771828373.191
27,0.025634,0.016813,1771828373.191,1771828558.054
28,0.027268,0.016217,1771828562.218,1771828748.012
29,0.022433,0.015317,1771828752.202,1771828937.361
30,0.025237,0.017768,1771828941.363,1771829125.858
31,0.027010,0.016589,1771829125.858,1771829311.355
32,0.025156,0.019128,1771829311.355,1771829495.804
33,0.024990,0.017663,1771829495.804,1771829681.046
34,0.022026,0.017002,1771829681.047,1771829866.185
35,0.026598,0.017976,1771829866.185,1771830051.656
36,0.021877,0.021028,1771830051.656,1771830239.796
37,0.023906,0.016597,1771830239.797,1771830424.681
38,0.022823,0.016251,1771830424.682,1771830609.315
39,0.022419,0.015300,1771830609.316,1771830796.947
40,0.023040,0.015878,1771830801.017,1771830988.305
41,0.023747,0.017694,1771830988.306,1771831174.823
42,0.021712,0.015544,1771831174.823,1771831368.476
43,0.024543,0.016125,1771831368.477,1771831555.083
44,0.021211,0.015883,1771831555.083,1771831740.145
45,0.022501,0.015734,1771831740.145,1771831926.199
46,0.020757,0.016709,1771831926.199,1771832110.755
47,0.026031,0.014952,1771832110.755,1771832295.758
48,0.019994,0.015845,1771832300.048,1771832485.107
49,0.022070,0.015753,1771832485.107,1771832669.884
50,0.020716,0.015817,1771832669.884,1771832854.528
51,0.019905,0.016258,1771832854.529,1771833038.809
52,0.022228,0.015188,1771833038.810,1771833223.154
53,0.021023,0.014289,1771833223.154,1771833407.120
54,0.022260,0.017862,1771833411.439,1771833595.033
55,0.020941,0.015003,1771833595.033,1771833781.131
56,0.019968,0.015250,1771833781.131,1771833966.924
57,0.021242,0.015840,1771833966.925,1771834151.724
58,0.020403,0.014622,1771834151.724,1771834336.303
59,0.019761,0.014947,1771834336.304,1771834521.946
60,0.020950,0.014292,1771834521.947,1771834707.788
61,0.020476,0.015248,1771834707.789,1771834891.967
62,0.018092,0.014932,1771834891.967,1771835076.540
63,0.020112,0.013607,1771835076.541,1771835260.847
64,0.019098,0.019319,1771835264.953,1771835449.369
65,0.019526,0.013829,1771835449.370,1771835635.114
66,0.019475,0.016034,1771835635.114,1771835819.102
67,0.021749,0.014359,1771835819.102,1771836004.869
68,0.017485,0.014973,1771836004.869,1771836189.023
69,0.020626,0.015227,1771836189.024,1771836374.156
70,0.018150,0.014884,1771836374.157,1771836558.632
71,0.019681,0.013819,1771836558.633,1771836743.324
72,0.021756,0.013843,1771836743.324,1771836927.334
73,0.016802,0.014623,1771836927.334,1771837112.416
74,0.020688,0.014529,1771837112.416,1771837298.585
75,0.020049,0.016173,1771837298.586,1771837484.037
76,0.018336,0.014230,1771837484.038,1771837669.385
77,0.021729,0.015637,1771837669.386,1771837854.171
78,0.018379,0.015237,1771837854.172,1771838037.999
79,0.018566,0.013998,1771838037.999,1771838223.597
80,0.016522,0.015610,1771838223.597,1771838408.692
81,0.019028,0.014716,1771838408.693,1771838593.710
82,0.017381,0.014898,1771838593.711,1771838778.205
83,0.017657,0.014142,1771838778.205,1771838962.020
84,0.020898,0.015195,1771838962.020,1771839148.026
85,0.017108,0.013830,1771839148.027,1771839332.770
86,0.020264,0.014741,1771839332.770,1771839518.820
87,0.018961,0.014752,1771839518.821,1771839703.303
88,0.016829,0.015299,1771839703.304,1771839888.153
89,0.017232,0.013951,1771839888.153,1771840072.843
90,0.019988,0.015286,1771840072.844,1771840257.390
