epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.450149,0.050550,1771864429.064,1771864613.111
2,0.086752,0.033428,1771864617.215,1771864803.055
3,0.064550,0.030070,1771864807.664,1771864990.330
4,0.052707,0.034373,1771864994.789,1771865177.307
5,0.049162,0.024917,1771865177.307,1771865360.628
6,0.048011,0.025705,1771865365.071,1771865547.224
7,0.042048,0.024853,1771865547.224,1771865731.267
8,0.039671,0.023641,1771865735.404,1771865934.293
9,0.038946,0.021642,1771865938.491,1771866140.459
10,0.037442,0.018457,1771866144.741,1771866347.021
11,0.035628,0.020787,1771866351.386,1771866555.134
12,0.032689,0.019820,1771866555.135,1771866759.987
13,0.035016,0.067820,1771866759.988,1771866961.062
14,0.032995,0.019201,1771866961.062,1771867168.395
15,0.029522,0.021801,1771867168.396,1771867360.597
16,0.030769,0.019281,1771867360.597,1771867546.859
17,0.030811,0.020423,1771867546.860,1771867730.807
18,0.029476,0.020173,1771867730.807,1771867917.754
19,0.028224,0.019142,1771867917.755,1771868104.842
20,0.026024,0.016982,1771868104.843,1771868299.505
21,0.030868,0.021479,1771868303.886,1771868491.876
22,0.026624,0.017080,1771868491.877,1771868680.556
23,0.026586,0.016596,1771868680.556,1771868872.246
24,0.026342,0.017154,1771868876.532,1771869073.333
25,0.023737,0.019865,1771869073.333,1771869271.293
26,0.026782,0.022118,1771869271.294,1771869467.651
27,0.025254,0.018139,1771869467.652,1771869656.481
28,0.025164,0.016558,1771869656.481,1771869849.830
29,0.024419,0.017797,1771869854.169,1771870052.119
30,0.024100,0.016187,1771870052.120,1771870249.318
31,0.026184,0.020007,1771870253.769,1771870448.488
32,0.023256,0.016819,1771870448.489,1771870644.551
33,0.023746,0.015688,1771870644.551,1771870836.133
34,0.023348,0.028115,1771870840.405,1771871037.599
35,0.023133,0.017125,1771871037.600,1771871232.670
36,0.022449,0.015329,1771871232.671,1771871429.436
37,0.022393,0.016368,1771871433.569,1771871629.101
38,0.025838,0.016220,1771871629.102,1771871824.295
39,0.020342,0.017811,1771871824.296,1771872020.256
40,0.020567,0.016025,1771872020.256,1771872214.907
41,0.023997,0.016558,1771872214.908,1771872412.030
42,0.023518,0.014322,1771872412.030,1771872607.564
43,0.021030,0.016744,1771872611.795,1771872813.312
44,0.021315,0.017348,1771872813.312,1771873011.917
45,0.021565,0.014796,1771873011.918,1771873207.888
46,0.021012,0.015107,1771873207.889,1771873405.029
47,0.023344,0.016436,1771873405.030,1771873600.340
48,0.020886,0.017601,1771873600.340,1771873795.825
49,0.020417,0.014600,1771873795.825,1771873989.790
50,0.019912,0.017268,1771873989.790,1771874184.752
51,0.020864,0.015005,1771874184.753,1771874378.882
52,0.022699,0.018838,1771874378.883,1771874574.615
53,0.018212,0.014238,1771874574.616,1771874770.300
54,0.021363,0.014513,1771874774.520,1771874970.128
55,0.019521,0.015274,1771874970.129,1771875166.196
56,0.019153,0.015272,1771875166.196,1771875360.244
57,0.019924,0.021798,1771875360.245,1771875554.158
58,0.019213,0.015211,1771875554.158,1771875751.771
59,0.020672,0.014635,1771875751.772,1771875948.296
60,0.020955,0.017018,1771875948.296,1771876144.313
61,0.018467,0.013892,1771876144.313,1771876339.345
62,0.020553,0.014573,1771876343.828,1771876539.216
63,0.018136,0.013971,1771876539.216,1771876733.862
64,0.021221,0.015240,1771876733.862,1771876933.536
65,0.018389,0.016437,1771876933.537,1771877131.446
66,0.018666,0.014277,1771877131.446,1771877325.673
67,0.020471,0.015287,1771877325.674,1771877520.701
68,0.019325,0.030676,1771877520.702,1771877716.827
69,0.019301,0.015045,1771877716.828,1771877910.777
70,0.019255,0.014300,1771877910.777,1771878105.679
71,0.018259,0.016754,1771878105.680,1771878299.257
72,0.020470,0.016039,1771878299.257,1771878489.104
73,0.018121,0.015539,1771878489.104,1771878674.938
74,0.019139,0.015131,1771878674.939,1771878858.834
75,0.021386,0.014961,1771878858.834,1771879044.263
76,0.017782,0.015273,1771879044.264,1771879227.482
77,0.018445,0.018772,1771879227.482,1771879408.444
78,0.019099,0.014494,1771879408.444,1771879590.664
79,0.015781,0.014414,1771879590.664,1771879771.583
80,0.017943,0.014379,1771879771.584,1771879953.426
81,0.020005,0.015067,1771879953.427,1771880135.268
82,0.017571,0.013631,1771880135.268,1771880315.693
83,0.018602,0.013915,1771880320.112,1771880501.871
84,0.017695,0.016382,1771880501.872,1771880683.034
85,0.020056,0.015582,1771880683.035,1771880863.629
86,0.019394,0.014798,1771880863.630,1771881044.296
87,0.016903,0.015814,1771881044.296,1771881224.724
88,0.017778,0.015289,1771881224.724,1771881405.714
89,0.019154,0.015934,1771881405.715,1771881587.156
90,0.017053,0.014784,1771881587.157,1771881768.698
91,0.018559,0.014506,1771881768.699,1771881949.775
92,0.018773,0.015994,1771881949.775,1771882130.296
