epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.455095,0.052177,1771895046.462,1771895230.803
2,0.083114,0.036035,1771895235.040,1771895418.872
3,0.062476,0.031305,1771895423.131,1771895606.071
4,0.058103,0.025751,1771895610.643,1771895793.905
5,0.050482,0.024633,1771895798.467,1771895981.469
6,0.047067,0.024476,1771895985.641,1771896168.419
7,0.043890,0.023317,1771896172.585,1771896355.590
8,0.038944,0.023393,1771896360.068,1771896542.468
9,0.036838,0.022562,1771896542.468,1771896726.388
10,0.037778,0.020105,1771896730.684,1771896912.412
11,0.036309,0.020438,1771896916.726,1771897098.117
12,0.035207,0.023210,1771897098.119,1771897280.485
13,0.034138,0.020816,1771897280.485,1771897463.008
14,0.030309,0.020140,1771897463.008,1771897644.797
15,0.031571,0.019911,1771897644.798,1771897834.128
16,0.031804,0.019479,1771897838.658,1771898025.808
17,0.026548,0.019789,1771898030.089,1771898215.061
18,0.030923,0.019810,1771898215.062,1771898398.074
19,0.026863,0.019131,1771898398.074,1771898581.271
20,0.030017,0.017727,1771898585.582,1771898767.392
21,0.028199,0.020979,1771898771.610,1771898954.309
22,0.024877,0.022047,1771898954.310,1771899136.463
23,0.025378,0.024008,1771899136.463,1771899318.637
24,0.027173,0.017715,1771899318.637,1771899500.717
25,0.025333,0.017607,1771899505.072,1771899688.172
26,0.025471,0.020520,1771899692.274,1771899874.710
27,0.023546,0.017907,1771899874.711,1771900058.105
28,0.025661,0.016925,1771900058.106,1771900238.843
29,0.023998,0.015626,1771900243.282,1771900427.811
30,0.025091,0.016735,1771900432.133,1771900614.716
31,0.024343,0.015463,1771900614.717,1771900796.259
32,0.023246,0.019216,1771900800.775,1771900982.484
33,0.023108,0.017838,1771900982.485,1771901162.990
34,0.024202,0.015337,1771901162.990,1771901346.161
35,0.023384,0.018433,1771901350.536,1771901539.032
36,0.020572,0.015233,1771901539.032,1771901720.010
37,0.023730,0.015391,1771901724.287,1771901905.748
38,0.024559,0.017904,1771901905.749,1771902087.760
39,0.020772,0.015474,1771902087.761,1771902270.134
40,0.020881,0.015486,1771902270.135,1771902450.677
41,0.023032,0.014524,1771902450.677,1771902632.730
42,0.022240,0.016210,1771902637.042,1771902819.162
43,0.022546,0.015890,1771902819.162,1771903000.239
44,0.020962,0.015464,1771903000.240,1771903181.466
45,0.022849,0.019587,1771903181.467,1771903363.655
46,0.020479,0.016144,1771903363.656,1771903545.087
47,0.021095,0.017440,1771903545.087,1771903728.309
48,0.021271,0.014770,1771903728.309,1771903913.004
49,0.020689,0.015415,1771903913.004,1771904097.470
50,0.020965,0.020393,1771904097.470,1771904278.837
51,0.019882,0.016781,1771904278.858,1771904462.033
52,0.019512,0.016754,1771904462.033,1771904643.908
53,0.020681,0.015594,1771904643.908,1771904824.015
54,0.021316,0.015373,1771904824.015,1771905006.978
55,0.017851,0.017414,1771905006.978,1771905188.830
56,0.020877,0.017110,1771905188.830,1771905371.783
57,0.019732,0.015375,1771905371.784,1771905554.433
58,0.020448,0.015982,1771905554.434,1771905737.813
59,0.021344,0.014869,1771905737.814,1771905919.825
60,0.020077,0.014750,1771905919.826,1771906101.054
61,0.018356,0.015170,1771906101.055,1771906282.107
62,0.020486,0.017739,1771906282.107,1771906461.893
63,0.019169,0.016429,1771906461.893,1771906644.074
64,0.020619,0.014994,1771906644.075,1771906827.314
65,0.018802,0.015185,1771906827.315,1771907008.862
66,0.020016,0.014603,1771907008.862,1771907189.632
67,0.019197,0.015083,1771907189.633,1771907370.113
68,0.018762,0.014412,1771907370.114,1771907553.144
69,0.019655,0.014500,1771907557.251,1771907738.038
70,0.022374,0.015137,1771907738.038,1771907917.972
71,0.018957,0.016324,1771907917.972,1771908099.612
72,0.018597,0.014715,1771908099.612,1771908281.446
73,0.018026,0.015013,1771908281.446,1771908463.732
74,0.017426,0.015584,1771908463.732,1771908646.153
75,0.020675,0.014703,1771908646.154,1771908825.624
76,0.019049,0.016120,1771908825.625,1771909007.229
77,0.021074,0.015417,1771909007.229,1771909187.669
78,0.015374,0.014004,1771909187.670,1771909368.934
79,0.020864,0.014327,1771909373.287,1771909554.798
80,0.018724,0.015274,1771909554.798,1771909735.756
81,0.019761,0.016423,1771909735.757,1771909916.108
82,0.017551,0.014714,1771909916.108,1771910096.899
83,0.018226,0.015826,1771910096.900,1771910277.776
84,0.017209,0.014652,1771910277.776,1771910459.154
85,0.019079,0.016728,1771910459.155,1771910639.992
86,0.020386,0.014910,1771910639.993,1771910820.086
87,0.016720,0.015627,1771910820.087,1771911000.140
88,0.018135,0.024047,1771911000.140,1771911181.324
89,0.019222,0.014483,1771911181.325,1771911361.974
90,0.017781,0.016354,1771911361.975,1771911543.262
