epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.457851,0.047294,1771986007.274,1771986202.744
2,0.083721,0.034238,1771986207.133,1771986403.827
3,0.064741,0.032808,1771986408.254,1771986605.833
4,0.053073,0.026676,1771986610.449,1771986807.006
5,0.052446,0.029904,1771986811.197,1771987007.268
6,0.044287,0.023549,1771987007.268,1771987203.864
7,0.045838,0.024367,1771987208.440,1771987403.995
8,0.042391,0.025072,1771987403.996,1771987599.141
9,0.036781,0.021753,1771987599.142,1771987795.369
10,0.040126,0.021113,1771987800.139,1771987995.824
11,0.032894,0.019730,1771988000.192,1771988194.577
12,0.037074,0.023272,1771988198.900,1771988392.812
13,0.032704,0.018877,1771988392.813,1771988587.391
14,0.032743,0.023827,1771988591.749,1771988786.826
15,0.029180,0.018744,1771988786.826,1771988981.801
16,0.033839,0.020146,1771988986.279,1771989182.166
17,0.031604,0.018469,1771989182.167,1771989378.294
18,0.028585,0.020564,1771989382.518,1771989578.958
19,0.029570,0.017464,1771989578.958,1771989775.941
20,0.026060,0.018261,1771989780.535,1771989976.596
21,0.029989,0.018935,1771989976.596,1771990170.033
22,0.028946,0.017971,1771990170.033,1771990364.426
23,0.027369,0.018951,1771990364.427,1771990560.607
24,0.026517,0.018252,1771990560.607,1771990755.463
25,0.028494,0.017471,1771990755.463,1771990953.050
26,0.023841,0.016638,1771990953.051,1771991149.312
27,0.024990,0.017722,1771991153.829,1771991349.276
28,0.026221,0.019332,1771991349.276,1771991545.548
29,0.027274,0.019158,1771991545.549,1771991739.490
30,0.023305,0.019118,1771991739.490,1771991931.936
31,0.024587,0.017352,1771991931.937,1771992123.994
32,0.027107,0.016169,1771992123.994,1771992317.545
33,0.023640,0.020058,1771992322.045,1771992516.606
34,0.021693,0.018554,1771992516.607,1771992709.474
35,0.023166,0.015481,1771992709.475,1771992903.126
36,0.023732,0.017672,1771992907.801,1771993099.917
37,0.024946,0.016651,1771993099.917,1771993291.758
38,0.022766,0.016045,1771993291.758,1771993483.111
39,0.022095,0.018508,1771993483.111,1771993675.482
40,0.023836,0.014546,1771993675.482,1771993867.883
41,0.022126,0.015671,1771993872.568,1771994064.430
42,0.021409,0.022436,1771994064.431,1771994257.280
43,0.022560,0.015968,1771994257.280,1771994448.891
44,0.022122,0.016437,1771994448.892,1771994641.121
45,0.022538,0.015620,1771994641.121,1771994833.742
46,0.022734,0.015813,1771994833.743,1771995026.724
47,0.018427,0.015440,1771995026.725,1771995219.158
48,0.022427,0.016234,1771995219.158,1771995410.878
49,0.021204,0.018148,1771995410.879,1771995602.456
50,0.023275,0.015484,1771995602.456,1771995794.590
51,0.020139,0.014961,1771995794.591,1771995988.988
52,0.021191,0.026690,1771995988.988,1771996183.079
53,0.023276,0.015668,1771996183.080,1771996374.950
54,0.019254,0.017634,1771996374.951,1771996568.750
55,0.021040,0.016112,1771996568.750,1771996760.430
56,0.021549,0.014558,1771996760.430,1771996952.872
57,0.021676,0.017078,1771996952.873,1771997144.739
58,0.018866,0.014900,1771997144.740,1771997337.009
59,0.020995,0.015725,1771997337.010,1771997528.581
60,0.021553,0.016062,1771997528.581,1771997722.525
61,0.020153,0.014886,1771997722.525,1771997915.303
62,0.018988,0.014178,1771997915.304,1771998107.673
63,0.019093,0.015106,1771998112.072,1771998304.239
64,0.019422,0.015092,1771998304.240,1771998497.345
65,0.023747,0.013812,1771998497.345,1771998689.543
66,0.018172,0.015140,1771998694.070,1771998886.491
67,0.020424,0.021097,1771998886.491,1771999079.008
68,0.019757,0.015990,1771999079.009,1771999271.357
69,0.017941,0.015118,1771999271.357,1771999465.814
70,0.018854,0.014736,1771999465.815,1771999662.629
71,0.020687,0.015831,1771999662.629,1771999855.026
72,0.019180,0.014401,1771999855.027,1772000047.555
73,0.016953,0.016557,1772000047.556,1772000240.008
74,0.020282,0.014798,1772000240.009,1772000433.123
75,0.021485,0.016962,1772000433.123,1772000625.146
76,0.019633,0.015309,1772000625.147,1772000818.560
77,0.017018,0.015400,1772000818.560,1772001011.408
78,0.017293,0.014422,1772001011.408,1772001203.122
79,0.019911,0.014206,1772001203.123,1772001400.224
80,0.019911,0.015501,1772001400.225,1772001597.242
81,0.018287,0.013824,1772001597.243,1772001792.050
82,0.018763,0.016236,1772001792.050,1772001987.871
83,0.020622,0.016646,1772001987.871,1772002183.366
84,0.017325,0.014795,1772002183.367,1772002381.807
85,0.016745,0.013972,1772002381.807,1772002580.209
86,0.016879,0.014694,1772002580.210,1772002778.005
87,0.019879,0.016625,1772002778.006,1772002975.121
88,0.017726,0.014721,1772002975.121,1772003168.589
89,0.019699,0.016666,1772003168.590,1772003362.565
90,0.018561,0.016209,1772003362.565,1772003555.711
