epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.449525,0.065074,1773206697.195,1773206896.456
2,0.083742,0.039390,1773206900.940,1773207096.440
3,0.065237,0.035044,1773207100.722,1773207293.111
4,0.056955,0.033128,1773207297.371,1773207492.103
5,0.046234,0.028566,1773207496.700,1773207691.429
6,0.047067,0.024512,1773207695.975,1773207890.731
7,0.041312,0.028351,1773207895.556,1773208090.683
8,0.043282,0.023369,1773208090.683,1773208285.444
9,0.039877,0.027836,1773208290.105,1773208483.542
10,0.038898,0.021588,1773208483.543,1773208676.160
11,0.036616,0.026868,1773208680.544,1773208873.472
12,0.031969,0.020931,1773208873.473,1773209066.764
13,0.034172,0.021670,1773209071.396,1773209266.167
14,0.034054,0.034821,1773209266.167,1773209459.400
15,0.031878,0.022156,1773209459.401,1773209653.030
16,0.031076,0.017826,1773209653.032,1773209845.571
17,0.029092,0.022565,1773209849.986,1773210042.179
18,0.030637,0.019577,1773210042.180,1773210234.284
19,0.027019,0.018462,1773210234.285,1773210427.781
20,0.029646,0.019848,1773210427.782,1773210620.809
21,0.026648,0.017984,1773210620.809,1773210813.293
22,0.027745,0.017048,1773210813.293,1773211007.569
23,0.027956,0.016888,1773211012.018,1773211204.434
24,0.028444,0.016519,1773211208.799,1773211401.281
25,0.027139,0.019026,1773211405.652,1773211599.039
26,0.024470,0.021880,1773211599.039,1773211791.870
27,0.024585,0.016068,1773211791.871,1773211984.522
28,0.026450,0.017023,1773211989.019,1773212181.213
29,0.025959,0.016954,1773212181.213,1773212374.872
30,0.024746,0.017608,1773212374.872,1773212567.477
31,0.025228,0.017280,1773212567.478,1773212761.712
32,0.021324,0.017069,1773212761.713,1773212955.217
33,0.025560,0.017781,1773212955.217,1773213147.618
34,0.023673,0.016736,1773213147.619,1773213340.306
35,0.022758,0.017525,1773213340.307,1773213532.611
36,0.025834,0.016308,1773213532.612,1773213725.866
37,0.020907,0.016102,1773213725.867,1773213917.941
38,0.021939,0.020512,1773213917.941,1773214110.636
39,0.024604,0.018172,1773214110.636,1773214304.836
40,0.021056,0.015913,1773214304.836,1773214499.715
41,0.022514,0.016323,1773214504.397,1773214699.895
42,0.021719,0.015075,1773214699.896,1773214894.490
43,0.024202,0.016449,1773214898.954,1773215093.631
44,0.022723,0.016460,1773215093.632,1773215293.555
45,0.022947,0.015222,1773215293.555,1773215486.449
46,0.019587,0.016239,1773215486.449,1773215679.526
47,0.022057,0.015994,1773215679.527,1773215872.797
48,0.021140,0.016403,1773215872.798,1773216065.408
49,0.023281,0.015058,1773216065.408,1773216258.450
50,0.020015,0.016691,1773216262.786,1773216457.328
51,0.021373,0.015095,1773216457.328,1773216650.079
52,0.020444,0.017017,1773216650.080,1773216842.812
53,0.023949,0.015489,1773216842.812,1773217035.843
54,0.021633,0.015382,1773217035.844,1773217229.041
55,0.018818,0.014082,1773217229.042,1773217422.095
56,0.021374,0.019730,1773217426.572,1773217619.505
57,0.018863,0.017843,1773217619.506,1773217812.367
58,0.020431,0.014899,1773217812.368,1773218005.557
59,0.019680,0.022764,1773218005.557,1773218199.166
60,0.022080,0.015739,1773218199.167,1773218391.737
61,0.021330,0.018715,1773218391.738,1773218584.817
62,0.019738,0.014715,1773218584.818,1773218777.898
63,0.022079,0.016089,1773218777.898,1773218970.862
64,0.019920,0.014434,1773218970.862,1773219163.871
65,0.020685,0.015791,1773219163.872,1773219357.064
66,0.020808,0.013892,1773219357.064,1773219549.992
67,0.018456,0.015516,1773219554.343,1773219747.581
68,0.020853,0.015193,1773219747.582,1773219941.367
69,0.017159,0.015324,1773219941.367,1773220134.584
70,0.020808,0.015009,1773220134.584,1773220327.612
71,0.020038,0.016095,1773220327.613,1773220522.558
72,0.020726,0.018701,1773220522.559,1773220715.234
73,0.019442,0.019409,1773220715.234,1773220907.667
74,0.019905,0.015489,1773220907.667,1773221100.368
75,0.020315,0.014655,1773221100.368,1773221293.584
76,0.018537,0.015312,1773221293.585,1773221486.374
77,0.020285,0.015320,1773221486.374,1773221678.606
78,0.019931,0.014993,1773221678.606,1773221872.694
79,0.021226,0.014479,1773221872.695,1773222065.712
80,0.017752,0.014679,1773222065.713,1773222259.177
81,0.018255,0.014598,1773222259.178,1773222452.358
82,0.018657,0.016568,1773222452.358,1773222645.600
83,0.018850,0.016873,1773222645.601,1773222839.882
84,0.020532,0.017243,1773222839.883,1773223033.897
85,0.018129,0.016446,1773223033.898,1773223227.871
86,0.019790,0.014626,1773223227.871,1773223422.742
87,0.019503,0.013993,1773223422.743,1773223618.182
88,0.016777,0.013833,1773223618.183,1773223812.414
89,0.020615,0.014933,1773223816.740,1773224009.821
90,0.017233,0.015007,1773224009.822,1773224203.029
91,0.020040,0.014476,1773224203.029,1773224396.493
92,0.017461,0.015201,1773224396.494,1773224590.000
93,0.021154,0.018862,1773224590.001,1773224782.784
94,0.017987,0.014511,1773224782.785,1773224975.889
95,0.018858,0.014299,1773224975.890,1773225168.769
96,0.014799,0.014860,1773225168.770,1773225363.516
97,0.022163,0.015004,1773225363.516,1773225556.959
98,0.018960,0.014200,1773225556.960,1773225749.969
