epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.458814,0.044924,1772006013.172,1772006213.382
2,0.085255,0.036663,1772006218.042,1772006415.975
3,0.064513,0.030146,1772006420.387,1772006619.181
4,0.055436,0.028129,1772006623.708,1772006822.630
5,0.050152,0.040774,1772006827.247,1772007024.168
6,0.045390,0.023121,1772007024.169,1772007220.246
7,0.044221,0.028653,1772007224.360,1772007419.809
8,0.043004,0.025083,1772007419.809,1772007615.463
9,0.039127,0.021774,1772007615.464,1772007812.357
10,0.036142,0.020439,1772007816.712,1772008013.533
11,0.037890,0.022158,1772008018.008,1772008213.837
12,0.033972,0.019982,1772008213.838,1772008409.917
13,0.036021,0.023687,1772008414.135,1772008611.318
14,0.031285,0.018268,1772008611.319,1772008806.991
15,0.031836,0.019017,1772008811.338,1772009006.563
16,0.034195,0.018265,1772009006.564,1772009203.118
17,0.028453,0.018487,1772009207.461,1772009404.609
18,0.031591,0.017167,1772009404.610,1772009599.892
19,0.030785,0.019404,1772009604.293,1772009799.639
20,0.029205,0.018410,1772009799.639,1772009995.453
21,0.028265,0.017342,1772009995.454,1772010190.525
22,0.025926,0.017945,1772010190.526,1772010388.088
23,0.028106,0.017552,1772010388.088,1772010583.578
24,0.027773,0.021181,1772010583.578,1772010780.020
25,0.026039,0.018077,1772010780.021,1772010977.463
26,0.029558,0.018576,1772010977.463,1772011176.811
27,0.023197,0.016315,1772011176.812,1772011374.244
28,0.024542,0.016296,1772011378.619,1772011577.388
29,0.027369,0.019604,1772011581.881,1772011779.436
30,0.024088,0.016409,1772011779.437,1772011973.607
31,0.024321,0.015415,1772011973.607,1772012170.551
32,0.024448,0.016708,1772012175.092,1772012370.750
33,0.025116,0.019937,1772012370.750,1772012566.460
34,0.024171,0.016506,1772012566.461,1772012762.390
35,0.024767,0.016261,1772012762.391,1772012958.151
36,0.022684,0.016267,1772012958.152,1772013154.569
37,0.023598,0.017637,1772013154.570,1772013349.670
38,0.024012,0.017121,1772013349.671,1772013547.047
39,0.023136,0.014986,1772013547.048,1772013744.256
40,0.022802,0.015975,1772013748.517,1772013946.809
41,0.022220,0.015706,1772013946.810,1772014141.896
42,0.022650,0.015612,1772014141.897,1772014337.835
43,0.023460,0.016660,1772014337.836,1772014534.627
44,0.020895,0.015674,1772014534.627,1772014730.555
45,0.020841,0.014627,1772014730.556,1772014928.202
46,0.024322,0.017322,1772014932.502,1772015128.934
47,0.020008,0.015676,1772015128.935,1772015324.626
48,0.023409,0.015300,1772015324.626,1772015520.479
49,0.023010,0.015835,1772015520.479,1772015717.405
50,0.021369,0.015855,1772015717.405,1772015913.555
51,0.021848,0.015609,1772015913.555,1772016110.316
52,0.020277,0.015845,1772016110.317,1772016307.466
53,0.022202,0.014240,1772016307.467,1772016503.303
54,0.022806,0.016203,1772016507.762,1772016703.502
55,0.019887,0.015477,1772016703.503,1772016899.385
56,0.019492,0.014755,1772016899.386,1772017095.976
57,0.021067,0.015518,1772017095.977,1772017291.686
58,0.022436,0.015196,1772017291.687,1772017488.227
59,0.021004,0.014574,1772017488.227,1772017685.497
60,0.020050,0.013636,1772017685.498,1772017881.581
61,0.018472,0.015216,1772017885.947,1772018081.196
62,0.019898,0.015594,1772018081.196,1772018277.840
63,0.018468,0.014673,1772018277.840,1772018473.780
64,0.020217,0.017285,1772018473.781,1772018669.272
65,0.021043,0.018930,1772018669.272,1772018864.573
66,0.020800,0.014868,1772018864.574,1772019061.064
67,0.020211,0.013656,1772019061.064,1772019256.236
68,0.018130,0.014388,1772019256.236,1772019452.199
69,0.020241,0.015515,1772019452.199,1772019648.856
70,0.018325,0.014941,1772019648.857,1772019845.309
71,0.019177,0.015208,1772019845.309,1772020042.231
72,0.021515,0.013962,1772020042.231,1772020238.085
73,0.017092,0.014163,1772020238.085,1772020434.387
74,0.019953,0.014828,1772020434.388,1772020631.236
75,0.019914,0.014285,1772020631.236,1772020826.927
76,0.022791,0.015859,1772020826.927,1772021020.989
77,0.017982,0.014469,1772021020.990,1772021220.001
78,0.020519,0.015280,1772021220.002,1772021415.875
79,0.018685,0.013595,1772021415.876,1772021611.616
80,0.019183,0.015946,1772021615.783,1772021812.136
81,0.018514,0.014297,1772021812.137,1772022007.894
82,0.018648,0.015744,1772022007.895,1772022203.593
83,0.020181,0.014421,1772022203.594,1772022399.953
84,0.020082,0.014413,1772022399.954,1772022595.597
85,0.018047,0.015505,1772022595.597,1772022792.351
86,0.017486,0.015339,1772022792.352,1772022989.854
87,0.016967,0.015567,1772022989.855,1772023185.345
88,0.020829,0.012884,1772023185.345,1772023381.460
89,0.018210,0.013669,1772023385.797,1772023581.974
90,0.018066,0.014090,1772023581.974,1772023777.925
91,0.020475,0.014502,1772023777.925,1772023974.259
92,0.018815,0.014142,1772023974.260,1772024170.255
93,0.017535,0.015333,1772024170.255,1772024365.569
94,0.019067,0.014941,1772024365.569,1772024561.888
95,0.020552,0.014468,1772024561.888,1772024758.507
96,0.016961,0.013733,1772024758.507,1772024955.955
97,0.019385,0.015325,1772024955.956,1772025152.740
98,0.017226,0.014030,1772025152.740,1772025349.225
