epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.514139,0.063749,1773278619.851,1773278801.515
2,0.104426,0.044602,1773278806.555,1773278978.306
3,0.077029,0.037535,1773278983.384,1773279138.200
4,0.067305,0.032953,1773279143.161,1773279298.723
5,0.062654,0.032410,1773279303.870,1773279462.951
6,0.051207,0.030113,1773279467.944,1773279622.300
7,0.055549,0.028830,1773279627.276,1773279781.085
8,0.048741,0.029042,1773279786.221,1773279931.277
9,0.047867,0.028469,1773279931.278,1773280057.410
10,0.039001,0.024483,1773280062.811,1773280170.836
11,0.044292,0.023858,1773280176.080,1773280281.157
12,0.037630,0.023230,1773280286.275,1773280390.924
13,0.038706,0.026034,1773280395.842,1773280500.323
14,0.040815,0.025100,1773280500.323,1773280605.050
15,0.035799,0.025955,1773280605.051,1773280709.577
16,0.037190,0.031022,1773280709.578,1773280815.057
17,0.032550,0.022495,1773280815.058,1773280922.362
18,0.033388,0.025287,1773280927.297,1773281035.235
19,0.033005,0.020015,1773281035.236,1773281142.660
20,0.028019,0.018868,1773281147.713,1773281256.186
21,0.030870,0.022177,1773281261.241,1773281368.662
22,0.031824,0.020506,1773281368.663,1773281476.044
23,0.026271,0.022812,1773281476.044,1773281583.498
24,0.027174,0.020941,1773281583.499,1773281690.745
25,0.027096,0.021578,1773281690.746,1773281796.480
26,0.029405,0.020337,1773281796.481,1773281902.630
27,0.026920,0.019979,1773281902.631,1773282008.863
28,0.028040,0.023275,1773282008.864,1773282115.209
29,0.024814,0.018513,1773282115.210,1773282221.341
30,0.029390,0.018877,1773282226.487,1773282334.554
31,0.022998,0.018856,1773282334.555,1773282442.853
32,0.026809,0.019784,1773282442.853,1773282551.416
33,0.022970,0.021395,1773282551.416,1773282658.989
34,0.023805,0.018539,1773282658.989,1773282765.652
35,0.026219,0.020322,1773282765.652,1773282872.544
36,0.024259,0.020001,1773282872.544,1773282980.241
37,0.024991,0.026682,1773282980.241,1773283087.633
38,0.022238,0.017327,1773283087.633,1773283194.919
39,0.022540,0.019565,1773283200.059,1773283307.194
40,0.022695,0.020233,1773283307.195,1773283414.056
41,0.023644,0.020531,1773283414.057,1773283520.789
42,0.023763,0.019046,1773283520.790,1773283627.683
43,0.020262,0.017613,1773283627.684,1773283735.121
44,0.020806,0.017322,1773283735.122,1773283842.378
45,0.022720,0.021904,1773283847.203,1773283954.509
46,0.024162,0.019319,1773283954.509,1773284062.241
47,0.020081,0.017735,1773284062.242,1773284169.464
48,0.021763,0.022124,1773284169.465,1773284277.391
49,0.020451,0.020684,1773284277.391,1773284385.342
50,0.021893,0.019095,1773284385.343,1773284493.287
51,0.019200,0.024210,1773284493.287,1773284601.604
52,0.016675,0.021968,1773284601.604,1773284710.468
53,0.028624,0.018208,1773284710.468,1773284818.594
54,0.020166,0.018147,1773284818.594,1773284926.493
55,0.018142,0.018179,1773284926.494,1773285033.100
56,0.019856,0.017557,1773285033.101,1773285139.588
57,0.021714,0.017561,1773285139.588,1773285246.472
58,0.018680,0.019165,1773285246.472,1773285353.315
59,0.016543,0.018269,1773285353.315,1773285460.918
60,0.020907,0.017256,1773285460.919,1773285567.712
61,0.017481,0.019271,1773285573.300,1773285680.782
62,0.019786,0.020042,1773285680.782,1773285787.542
63,0.020724,0.021494,1773285787.542,1773285894.589
64,0.018445,0.021166,1773285894.590,1773286001.609
65,0.019286,0.017055,1773286001.610,1773286108.459
66,0.016877,0.018035,1773286113.451,1773286220.523
67,0.017500,0.018337,1773286220.524,1773286327.660
68,0.020289,0.022496,1773286327.661,1773286435.167
69,0.018540,0.016680,1773286435.168,1773286541.741
70,0.015864,0.018275,1773286546.769,1773286654.423
71,0.020363,0.018064,1773286654.424,1773286761.742
72,0.019718,0.017472,1773286761.742,1773286870.661
73,0.016982,0.016396,1773286870.662,1773286979.068
74,0.019228,0.017816,1773286984.092,1773287093.440
75,0.014603,0.017754,1773287093.440,1773287202.737
76,0.019589,0.017561,1773287202.738,1773287312.846
77,0.016865,0.018726,1773287312.846,1773287423.323
78,0.017118,0.016291,1773287423.323,1773287533.293
79,0.017017,0.018188,1773287538.378,1773287650.438
80,0.016200,0.017658,1773287650.438,1773287759.990
81,0.020208,0.017025,1773287759.991,1773287866.861
82,0.016052,0.017328,1773287866.861,1773287972.152
83,0.016405,0.016925,1773287972.153,1773288078.101
84,0.016283,0.025263,1773288078.101,1773288183.431
85,0.019935,0.020858,1773288183.431,1773288288.669
86,0.017171,0.020379,1773288288.669,1773288394.594
87,0.016978,0.017080,1773288394.594,1773288502.405
88,0.014781,0.016825,1773288502.405,1773288608.810
89,0.016936,0.016269,1773288608.811,1773288715.346
90,0.015490,0.020651,1773288720.102,1773288827.387
91,0.016116,0.016444,1773288827.388,1773288933.579
92,0.016982,0.016916,1773288933.579,1773289039.016
93,0.015890,0.017368,1773289039.016,1773289144.154
94,0.017382,0.016907,1773289144.154,1773289250.814
95,0.016368,0.020319,1773289250.815,1773289356.110
96,0.016593,0.016635,1773289356.110,1773289461.210
97,0.016746,0.018541,1773289461.211,1773289566.588
98,0.019440,0.017013,1773289566.589,1773289671.267
99,0.015690,0.019405,1773289671.268,1773289777.564
