epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.477892,0.051871,1773336580.587,1773336723.380
2,0.079955,0.037273,1773336728.611,1773336871.858
3,0.064574,0.030278,1773336876.861,1773337020.918
4,0.054408,0.026394,1773337026.062,1773337166.366
5,0.047132,0.030395,1773337171.354,1773337316.429
6,0.043687,0.022264,1773337316.430,1773337459.288
7,0.044575,0.026610,1773337464.460,1773337605.868
8,0.042837,0.026458,1773337605.868,1773337747.805
9,0.038653,0.030847,1773337747.806,1773337890.672
10,0.036048,0.022557,1773337890.673,1773338030.610
11,0.034512,0.023339,1773338030.611,1773338175.163
12,0.038364,0.020427,1773338175.164,1773338320.404
13,0.029899,0.018340,1773338325.385,1773338470.026
14,0.029997,0.020489,1773338475.214,1773338619.391
15,0.032047,0.018715,1773338619.391,1773338762.798
16,0.032672,0.019414,1773338762.799,1773338908.720
17,0.028646,0.018714,1773338908.721,1773339053.465
18,0.029648,0.021210,1773339053.465,1773339197.404
19,0.026527,0.017758,1773339197.404,1773339339.582
20,0.026149,0.020413,1773339344.715,1773339487.948
21,0.029494,0.016083,1773339487.948,1773339631.407
22,0.027434,0.019686,1773339636.588,1773339781.024
23,0.025109,0.018717,1773339781.025,1773339925.934
24,0.026427,0.017163,1773339925.935,1773340070.049
25,0.026464,0.018106,1773340070.050,1773340213.647
26,0.024347,0.019710,1773340213.649,1773340357.808
27,0.024263,0.018512,1773340357.809,1773340500.892
28,0.022289,0.016020,1773340500.892,1773340645.386
29,0.025841,0.018961,1773340650.515,1773340793.122
30,0.025820,0.017504,1773340793.122,1773340936.618
31,0.023243,0.018131,1773340936.618,1773341080.205
32,0.023540,0.017291,1773341080.206,1773341223.523
33,0.024870,0.021362,1773341223.523,1773341369.701
