epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.540515,0.057172,1772072752.023,1772072914.639
2,0.095890,0.036346,1772072919.100,1772073080.522
3,0.068118,0.035115,1772073084.760,1772073247.998
4,0.060882,0.032496,1772073252.581,1772073415.314
5,0.050608,0.029207,1772073419.834,1772073582.034
6,0.049405,0.030916,1772073586.657,1772073750.462
7,0.046047,0.035793,1772073750.463,1772073914.083
8,0.043431,0.023991,1772073914.083,1772074077.456
9,0.039328,0.028090,1772074081.739,1772074245.586
10,0.041363,0.039201,1772074245.587,1772074409.789
11,0.036561,0.023897,1772074409.790,1772074574.527
12,0.037005,0.023441,1772074578.955,1772074744.212
13,0.035689,0.022433,1772074748.476,1772074911.150
14,0.036151,0.027407,1772074915.256,1772075077.594
15,0.034429,0.028640,1772075077.595,1772075242.893
16,0.035505,0.021020,1772075242.893,1772075405.203
17,0.030368,0.026760,1772075409.752,1772075573.411
18,0.031936,0.022159,1772075573.412,1772075735.830
19,0.026292,0.021278,1772075735.831,1772075898.357
20,0.030155,0.042987,1772075898.358,1772076061.344
21,0.029781,0.021358,1772076061.344,1772076222.949
22,0.028481,0.028685,1772076222.949,1772076383.995
23,0.027359,0.019089,1772076383.996,1772076547.674
24,0.028298,0.020198,1772076552.180,1772076716.484
25,0.024245,0.018555,1772076716.485,1772076879.194
26,0.027808,0.020192,1772076884.267,1772077046.635
27,0.024926,0.018708,1772077046.636,1772077209.311
28,0.025299,0.018566,1772077209.312,1772077372.664
29,0.025882,0.020086,1772077372.665,1772077535.943
30,0.025845,0.018748,1772077535.944,1772077700.105
31,0.025209,0.022545,1772077700.106,1772077866.047
32,0.028226,0.020434,1772077866.048,1772078031.299
33,0.022323,0.017584,1772078031.300,1772078195.440
34,0.022524,0.017856,1772078199.879,1772078365.012
35,0.024907,0.017560,1772078365.012,1772078530.223
36,0.024343,0.019582,1772078534.809,1772078702.588
37,0.022148,0.017798,1772078702.589,1772078867.936
38,0.025600,0.019113,1772078867.936,1772079034.652
39,0.023427,0.017559,1772079034.653,1772079196.709
40,0.020989,0.018048,1772079200.995,1772079362.263
41,0.023260,0.020016,1772079362.264,1772079522.776
42,0.022230,0.018349,1772079522.777,1772079685.473
43,0.024322,0.018216,1772079685.474,1772079848.019
44,0.023423,0.017977,1772079848.020,1772080011.181
45,0.023408,0.017187,1772080011.181,1772080177.139
46,0.020989,0.017687,1772080181.104,1772080347.781
47,0.019645,0.018346,1772080347.782,1772080513.905
48,0.022621,0.019426,1772080513.905,1772080678.775
49,0.020789,0.018184,1772080678.775,1772080845.011
50,0.024952,0.017066,1772080845.011,1772081011.847
51,0.021141,0.016667,1772081016.262,1772081182.397
52,0.018162,0.020487,1772081186.623,1772081352.636
53,0.019348,0.024836,1772081352.637,1772081519.536
54,0.023076,0.017614,1772081519.537,1772081685.769
55,0.019592,0.017542,1772081685.770,1772081851.251
56,0.022736,0.018256,1772081851.252,1772082015.911
57,0.018896,0.018492,1772082015.912,1772082181.324
58,0.020798,0.020131,1772082181.325,1772082349.865
59,0.019961,0.017792,1772082349.866,1772082514.712
60,0.021975,0.017238,1772082514.713,1772082676.272
61,0.019492,0.016554,1772082676.272,1772082839.268
62,0.018525,0.018315,1772082843.647,1772083006.776
63,0.019500,0.025345,1772083006.776,1772083168.966
64,0.021942,0.017059,1772083168.967,1772083330.880
65,0.015470,0.017173,1772083330.881,1772083496.244
66,0.019812,0.016485,1772083496.244,1772083661.420
67,0.020048,0.018891,1772083665.766,1772083829.129
68,0.021101,0.018114,1772083829.130,1772083990.606
69,0.021171,0.018948,1772083990.607,1772084157.140
70,0.020150,0.019843,1772084157.141,1772084322.660
71,0.018495,0.016316,1772084322.661,1772084486.418
72,0.018755,0.015594,1772084490.873,1772084655.734
73,0.018544,0.017404,1772084660.365,1772084823.879
74,0.018889,0.016847,1772084823.880,1772084985.428
75,0.020283,0.016620,1772084985.429,1772085147.204
76,0.018524,0.016162,1772085147.204,1772085312.319
77,0.019228,0.016624,1772085312.319,1772085477.599
78,0.018676,0.017197,1772085477.600,1772085642.808
79,0.017834,0.016032,1772085642.808,1772085805.688
80,0.018508,0.016601,1772085805.689,1772085972.470
81,0.017552,0.016811,1772085972.471,1772086137.088
82,0.019303,0.016505,1772086137.089,1772086301.102
83,0.020840,0.015832,1772086301.102,1772086466.763
84,0.014885,0.017087,1772086466.764,1772086631.525
85,0.020567,0.016659,1772086631.526,1772086797.290
86,0.019439,0.018392,1772086797.321,1772086959.449
87,0.018022,0.016438,1772086959.450,1772087126.222
88,0.017101,0.017810,1772087126.223,1772087290.469
89,0.019244,0.020528,1772087290.469,1772087454.473
90,0.018476,0.019227,1772087454.474,1772087615.217
