epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.524901,0.111513,1772088356.595,1772088619.151
2,0.097680,0.039638,1772088623.382,1772088863.517
3,0.071990,0.036034,1772088867.920,1772089101.091
4,0.057127,0.080178,1772089105.603,1772089330.120
5,0.057742,0.031121,1772089330.121,1772089554.550
6,0.052950,0.031252,1772089559.744,1772089779.825
7,0.049821,0.027958,1772089779.825,1772090009.060
8,0.045066,0.028583,1772090013.406,1772090237.348
9,0.042244,0.027436,1772090237.349,1772090467.813
10,0.045766,0.027517,1772090472.256,1772090703.176
11,0.038780,0.028336,1772090703.176,1772090930.374
12,0.040373,0.040005,1772090930.374,1772091157.408
13,0.036640,0.023531,1772091157.409,1772091383.198
14,0.040017,0.030292,1772091387.609,1772091612.493
15,0.035187,0.022662,1772091612.493,1772091776.011
16,0.033125,0.024946,1772091780.632,1772091952.546
17,0.035173,0.022945,1772091952.547,1772092115.909
18,0.032392,0.021531,1772092115.909,1772092279.063
19,0.030290,0.024638,1772092283.358,1772092446.788
20,0.034488,0.024564,1772092446.788,1772092610.452
21,0.028854,0.021261,1772092610.452,1772092773.374
22,0.033283,0.023233,1772092777.891,1772092940.354
23,0.027096,0.021164,1772092940.354,1772093106.087
24,0.026550,0.021424,1772093110.558,1772093274.429
25,0.032152,0.021698,1772093274.429,1772093438.342
26,0.025928,0.021848,1772093438.343,1772093601.644
27,0.028892,0.020097,1772093601.645,1772093765.102
28,0.028426,0.025979,1772093769.689,1772093933.807
29,0.023881,0.020858,1772093933.807,1772094098.432
30,0.027416,0.022257,1772094098.433,1772094261.976
31,0.026394,0.020232,1772094261.976,1772094426.310
32,0.028102,0.019791,1772094426.310,1772094589.900
33,0.027288,0.020496,1772094594.546,1772094759.134
34,0.024847,0.022807,1772094759.134,1772094923.547
35,0.024665,0.020982,1772094923.547,1772095087.296
36,0.023872,0.019405,1772095087.297,1772095250.852
37,0.025323,0.019272,1772095255.266,1772095419.179
38,0.026280,0.019624,1772095423.794,1772095587.645
39,0.022944,0.019545,1772095587.645,1772095752.066
40,0.024524,0.018936,1772095752.067,1772095917.033
41,0.025786,0.019857,1772095921.388,1772096085.947
42,0.023374,0.036923,1772096085.947,1772096250.386
43,0.023021,0.020630,1772096250.386,1772096414.197
44,0.022666,0.022073,1772096414.198,1772096577.426
45,0.025824,0.021165,1772096577.426,1772096742.468
46,0.021827,0.018371,1772096742.468,1772096905.555
47,0.022072,0.021916,1772096910.262,1772097074.829
48,0.021575,0.018491,1772097074.830,1772097238.356
49,0.023240,0.020597,1772097238.357,1772097401.342
50,0.025410,0.019537,1772097401.342,1772097565.315
51,0.022479,0.018353,1772097565.316,1772097729.297
52,0.016336,0.018554,1772097733.784,1772097897.722
53,0.022819,0.020377,1772097897.722,1772098062.707
54,0.021899,0.020345,1772098062.707,1772098226.499
55,0.022367,0.026523,1772098226.499,1772098389.741
56,0.024903,0.021468,1772098389.741,1772098554.713
57,0.020145,0.017967,1772098554.713,1772098718.167
58,0.022222,0.018474,1772098722.785,1772098887.684
59,0.018266,0.019182,1772098887.684,1772099051.815
60,0.023033,0.019509,1772099051.815,1772099215.314
61,0.022200,0.019455,1772099215.315,1772099378.314
62,0.021589,0.019188,1772099378.315,1772099541.262
63,0.018604,0.018570,1772099541.262,1772099705.184
64,0.023278,0.020300,1772099705.184,1772099868.652
65,0.021486,0.019353,1772099868.653,1772100031.855
66,0.019823,0.019100,1772100031.855,1772100195.324
67,0.019458,0.018274,1772100195.324,1772100361.848
68,0.023018,0.018615,1772100361.849,1772100525.921
69,0.017121,0.017803,1772100525.921,1772100690.623
70,0.019952,0.017444,1772100695.086,1772100859.122
71,0.021928,0.018372,1772100863.917,1772101028.578
72,0.021947,0.021994,1772101028.578,1772101191.772
73,0.021271,0.019058,1772101191.773,1772101355.466
74,0.019274,0.019775,1772101355.467,1772101518.717
75,0.018409,0.020045,1772101518.717,1772101682.547
76,0.021635,0.017694,1772101682.547,1772101845.824
77,0.021132,0.019527,1772101845.825,1772102009.165
78,0.020079,0.019961,1772102009.165,1772102173.618
79,0.020502,0.018280,1772102173.618,1772102338.186
80,0.018449,0.019097,1772102338.187,1772102502.770
81,0.021958,0.018264,1772102502.770,1772102666.689
82,0.017789,0.018366,1772102666.690,1772102830.170
83,0.017900,0.022495,1772102830.170,1772102994.355
84,0.020431,0.019116,1772102994.356,1772103157.548
85,0.019259,0.017999,1772103157.548,1772103321.099
86,0.017455,0.017812,1772103321.100,1772103484.862
87,0.017129,0.019282,1772103484.862,1772103650.507
88,0.019361,0.019119,1772103650.507,1772103814.372
89,0.023711,0.017457,1772103814.372,1772103979.615
90,0.018019,0.017714,1772103979.615,1772104143.283
