epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.282894,0.052865,1772407086.111,1772407370.493
2,0.065079,0.032557,1772407378.241,1772407660.701
3,0.058311,0.062165,1772407668.430,1772407950.181
4,0.049968,0.027106,1772407950.181,1772408232.648
5,0.044955,0.026198,1772408241.145,1772408522.881
6,0.043637,0.024496,1772408532.093,1772408812.773
7,0.042200,0.023145,1772408821.142,1772409103.950
8,0.037771,0.025492,1772409111.774,1772409396.343
9,0.037863,0.024292,1772409396.344,1772409679.304
10,0.036010,0.021767,1772409679.305,1772409962.470
11,0.035287,0.018852,1772409970.893,1772410257.995
12,0.033607,0.020654,1772410265.489,1772410548.398
13,0.032982,0.021201,1772410548.399,1772410832.676
14,0.031108,0.021509,1772410832.677,1772411123.212
15,0.031718,0.022653,1772411123.213,1772411413.172
16,0.030716,0.019796,1772411413.173,1772411700.163
17,0.029760,0.018260,1772411700.163,1772411987.004
18,0.030062,0.018848,1772411994.515,1772412280.352
19,0.030345,0.018313,1772412280.352,1772412567.057
20,0.029447,0.017364,1772412567.058,1772412857.764
21,0.026138,0.020193,1772412866.269,1772413158.572
22,0.027890,0.020849,1772413158.572,1772413447.697
23,0.028532,0.021663,1772413447.698,1772413739.279
24,0.027863,0.018136,1772413739.280,1772414027.139
25,0.028296,0.018559,1772414027.140,1772414317.336
26,0.028425,0.018742,1772414317.337,1772414602.951
27,0.026285,0.017988,1772414602.951,1772414886.733
28,0.027097,0.016858,1772414886.734,1772415170.206
29,0.024775,0.016953,1772415178.868,1772415463.124
30,0.027301,0.016219,1772415463.125,1772415747.051
31,0.026551,0.017625,1772415755.221,1772416039.962
32,0.025764,0.017134,1772416039.962,1772416329.209
33,0.026621,0.016085,1772416329.209,1772416619.707
34,0.024793,0.016826,1772416627.693,1772416919.056
35,0.024174,0.015504,1772416919.057,1772417208.733
36,0.026933,0.017777,1772417217.151,1772417509.445
37,0.023471,0.016123,1772417509.445,1772417797.158
38,0.023414,0.019004,1772417797.159,1772418080.950
39,0.026757,0.017074,1772418080.950,1772418363.443
40,0.024308,0.015786,1772418363.444,1772418643.492
41,0.023189,0.016735,1772418643.492,1772418925.533
42,0.024145,0.017294,1772418925.533,1772419206.948
43,0.024198,0.015986,1772419206.949,1772419489.186
44,0.024513,0.016016,1772419489.186,1772419772.402
45,0.023171,0.015712,1772419772.403,1772420055.380
46,0.022427,0.016246,1772420055.380,1772420338.617
47,0.023731,0.015292,1772420338.617,1772420621.693
48,0.023813,0.015791,1772420630.773,1772420913.019
49,0.023684,0.015138,1772420913.020,1772421193.751
50,0.024381,0.015863,1772421201.621,1772421484.378
51,0.022456,0.019669,1772421484.379,1772421766.688
52,0.024109,0.016073,1772421766.688,1772422049.814
53,0.024152,0.016276,1772422049.815,1772422333.727
54,0.023441,0.022707,1772422333.728,1772422615.529
55,0.022377,0.016438,1772422615.529,1772422895.374
56,0.025891,0.018100,1772422895.375,1772423175.544
57,0.022640,0.015573,1772423175.545,1772423458.005
58,0.022009,0.015285,1772423458.006,1772423741.180
59,0.023106,0.016380,1772423741.181,1772424024.552
60,0.023776,0.017100,1772424024.553,1772424306.869
61,0.022375,0.015326,1772424306.869,1772424589.379
62,0.022609,0.016767,1772424589.380,1772424870.152
63,0.021797,0.016417,1772424870.153,1772425152.073
64,0.022579,0.016069,1772425152.074,1772425433.797
65,0.021808,0.017042,1772425433.798,1772425716.370
66,0.022980,0.014712,1772425716.370,1772425999.063
67,0.022286,0.015554,1772426007.640,1772426292.344
68,0.022183,0.015297,1772426292.345,1772426572.601
69,0.022993,0.015083,1772426572.601,1772426855.748
70,0.020059,0.014267,1772426855.749,1772427138.246
71,0.023159,0.016150,1772427146.790,1772427429.623
72,0.022620,0.014338,1772427429.624,1772427712.261
73,0.021224,0.014913,1772427712.261,1772427995.724
74,0.021956,0.016441,1772427995.725,1772428277.877
75,0.022266,0.016534,1772428277.878,1772428560.163
76,0.023705,0.015674,1772428560.164,1772428842.832
77,0.020536,0.016684,1772428842.833,1772429125.302
78,0.021744,0.014940,1772429125.303,1772429407.975
79,0.022494,0.014049,1772429407.976,1772429690.448
80,0.022201,0.016273,1772429698.867,1772429981.305
81,0.020305,0.018766,1772429981.306,1772430259.277
82,0.021955,0.015499,1772430259.278,1772430541.840
83,0.021320,0.016834,1772430541.841,1772430824.788
84,0.021756,0.015065,1772430824.789,1772431107.766
85,0.021211,0.014710,1772431107.767,1772431390.801
86,0.020546,0.016520,1772431390.802,1772431672.809
87,0.024317,0.015158,1772431672.809,1772431954.053
88,0.019365,0.014920,1772431954.053,1772432234.445
89,0.021017,0.015516,1772432234.446,1772432516.457
90,0.023220,0.015558,1772432516.457,1772432799.253
