epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.451407,0.063828,1771770045.032,1771770221.217
2,0.098004,0.049820,1771770226.102,1771770386.568
3,0.075322,0.050157,1771770391.272,1771770548.844
4,0.068826,0.038883,1771770548.845,1771770706.540
5,0.064920,0.034321,1771770711.376,1771770870.041
6,0.056610,0.030807,1771770874.627,1771771050.320
7,0.050483,0.033057,1771771055.326,1771771231.902
8,0.049235,0.029279,1771771231.903,1771771396.279
9,0.043772,0.028153,1771771400.989,1771771568.861
10,0.043955,0.026987,1771771573.867,1771771740.415
11,0.043784,0.031174,1771771745.500,1771771912.199
12,0.039732,0.029180,1771771912.199,1771772074.251
13,0.039698,0.023252,1771772074.253,1771772224.478
14,0.036472,0.027819,1771772229.559,1771772379.952
15,0.038257,0.030372,1771772379.952,1771772532.043
16,0.036647,0.022884,1771772532.044,1771772682.484
17,0.034134,0.022157,1771772687.265,1771772837.341
18,0.034644,0.021707,1771772842.226,1771772992.693
19,0.031121,0.025467,1771772997.431,1771773147.452
20,0.033958,0.026784,1771773147.452,1771773298.288
21,0.030981,0.022415,1771773298.289,1771773448.327
22,0.032381,0.022530,1771773448.327,1771773598.325
23,0.029037,0.020218,1771773598.325,1771773747.638
24,0.030348,0.024650,1771773752.482,1771773903.534
25,0.031994,0.021932,1771773903.535,1771774052.596
26,0.027742,0.023368,1771774052.596,1771774201.748
27,0.031474,0.022657,1771774201.748,1771774353.465
28,0.026253,0.020780,1771774353.465,1771774503.185
29,0.028853,0.021048,1771774503.186,1771774652.674
30,0.031485,0.020473,1771774652.674,1771774802.810
31,0.024899,0.019551,1771774802.811,1771774952.607
32,0.026501,0.020920,1771774957.515,1771775107.119
33,0.026628,0.022753,1771775107.120,1771775257.242
34,0.028474,0.023249,1771775257.243,1771775407.537
35,0.025503,0.020563,1771775407.537,1771775557.486
36,0.026052,0.028837,1771775557.487,1771775708.280
37,0.026078,0.020802,1771775708.280,1771775858.377
38,0.025684,0.018710,1771775858.377,1771776008.425
39,0.022217,0.018627,1771776013.223,1771776165.222
40,0.026153,0.020641,1771776170.434,1771776320.488
41,0.021250,0.019412,1771776320.489,1771776470.961
42,0.025604,0.019379,1771776470.961,1771776621.791
43,0.022691,0.020672,1771776621.792,1771776771.196
44,0.024593,0.022598,1771776771.196,1771776921.200
45,0.022151,0.017977,1771776921.200,1771777071.337
46,0.022026,0.019714,1771777076.268,1771777228.243
47,0.022660,0.019089,1771777228.244,1771777388.849
48,0.025901,0.019828,1771777388.849,1771777552.714
49,0.022347,0.019547,1771777552.714,1771777712.897
50,0.022002,0.019911,1771777712.898,1771777878.922
51,0.023680,0.020156,1771777878.922,1771778042.119
52,0.022679,0.019770,1771778042.119,1771778206.035
53,0.023404,0.018532,1771778206.036,1771778363.395
54,0.021901,0.020946,1771778363.395,1771778512.801
55,0.024143,0.018905,1771778512.801,1771778662.683
56,0.022421,0.019927,1771778662.684,1771778814.923
57,0.020955,0.017929,1771778814.924,1771778966.957
58,0.022879,0.017473,1771778971.745,1771779123.147
59,0.019992,0.018691,1771779128.536,1771779284.170
60,0.023329,0.017750,1771779284.170,1771779435.505
61,0.021447,0.018201,1771779435.506,1771779588.155
62,0.021224,0.018923,1771779588.155,1771779740.017
63,0.022235,0.018225,1771779740.018,1771779891.601
64,0.021330,0.018208,1771779891.601,1771780042.928
65,0.018799,0.018090,1771780042.929,1771780194.914
66,0.023453,0.018285,1771780194.915,1771780346.327
67,0.021327,0.018795,1771780346.327,1771780498.139
68,0.019715,0.018734,1771780498.140,1771780649.571
69,0.020987,0.018292,1771780649.572,1771780800.968
70,0.019449,0.017773,1771780800.969,1771780952.531
71,0.023560,0.017926,1771780952.531,1771781104.898
72,0.020333,0.019651,1771781104.899,1771781256.035
73,0.019511,0.018306,1771781256.036,1771781407.073
74,0.020251,0.017675,1771781407.074,1771781558.960
75,0.018287,0.018534,1771781558.960,1771781710.171
76,0.020883,0.019091,1771781710.172,1771781860.966
77,0.020199,0.019637,1771781860.967,1771782011.986
78,0.019629,0.018267,1771782011.986,1771782162.893
79,0.019963,0.018302,1771782162.893,1771782314.000
80,0.019163,0.019518,1771782314.001,1771782465.322
81,0.019224,0.017433,1771782465.322,1771782615.798
82,0.019129,0.017299,1771782621.176,1771782772.199
83,0.023336,0.020520,1771782777.318,1771782928.541
84,0.017799,0.017918,1771782928.542,1771783079.602
85,0.018971,0.018712,1771783079.603,1771783230.934
86,0.020524,0.018169,1771783230.935,1771783383.731
87,0.017957,0.017536,1771783383.732,1771783536.394
88,0.021383,0.020642,1771783536.395,1771783689.113
89,0.017895,0.017767,1771783689.114,1771783840.247
90,0.019192,0.019704,1771783840.247,1771783991.812
91,0.019990,0.019426,1771783991.813,1771784143.173
92,0.019924,0.022165,1771784143.174,1771784294.314
