epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.571558,0.086136,1771801994.133,1771802177.061
2,0.113956,0.060112,1771802181.296,1771802366.051
3,0.087032,0.036671,1771802370.478,1771802555.298
4,0.070055,0.040071,1771802559.498,1771802741.638
5,0.068240,0.033776,1771802741.639,1771802923.212
6,0.061215,0.032565,1771802927.241,1771803110.321
7,0.058165,0.060162,1771803114.590,1771803296.279
8,0.054439,0.028477,1771803296.279,1771803478.627
9,0.053811,0.030282,1771803482.979,1771803665.190
10,0.047289,0.026224,1771803665.190,1771803846.504
11,0.047501,0.029227,1771803850.414,1771804032.224
12,0.047795,0.027083,1771804032.224,1771804212.100
13,0.039981,0.024108,1771804212.101,1771804391.580
14,0.045127,0.024545,1771804395.470,1771804575.026
15,0.042167,0.024392,1771804575.027,1771804753.745
16,0.042526,0.023758,1771804753.745,1771804935.048
17,0.039848,0.042811,1771804939.087,1771805119.117
18,0.037276,0.025078,1771805119.118,1771805298.915
19,0.043166,0.023376,1771805298.915,1771805479.126
20,0.035291,0.023552,1771805483.022,1771805662.289
21,0.037862,0.022613,1771805662.290,1771805840.660
22,0.036091,0.023039,1771805844.937,1771806023.382
23,0.033988,0.022982,1771806023.383,1771806203.233
24,0.034758,0.021099,1771806203.233,1771806382.594
25,0.037532,0.022570,1771806386.665,1771806565.399
26,0.034690,0.022279,1771806565.400,1771806745.863
27,0.036192,0.021783,1771806745.864,1771806925.226
28,0.032120,0.036190,1771806925.226,1771807104.394
29,0.032055,0.022002,1771807104.394,1771807283.413
30,0.035288,0.021410,1771807283.414,1771807462.190
31,0.034123,0.025343,1771807462.191,1771807640.666
32,0.030868,0.021840,1771807640.666,1771807820.748
33,0.033368,0.022558,1771807820.749,1771808003.797
34,0.030352,0.023736,1771808003.798,1771808185.230
35,0.033417,0.021105,1771808185.230,1771808376.691
36,0.033109,0.021401,1771808376.692,1771808566.501
37,0.030019,0.019943,1771808566.502,1771808750.040
38,0.030603,0.022663,1771808754.149,1771808940.969
39,0.031833,0.021579,1771808940.970,1771809124.039
40,0.031961,0.021178,1771809124.039,1771809306.020
41,0.029918,0.023712,1771809306.021,1771809488.762
42,0.029204,0.021437,1771809488.762,1771809670.425
43,0.032561,0.020543,1771809670.426,1771809853.438
44,0.030887,0.020746,1771809853.439,1771810036.481
45,0.027739,0.020380,1771810036.481,1771810218.587
46,0.033075,0.021628,1771810218.588,1771810405.031
47,0.027899,0.019350,1771810405.032,1771810592.846
48,0.028920,0.021318,1771810596.881,1771810781.175
49,0.030524,0.025574,1771810781.175,1771810965.235
50,0.028040,0.020797,1771810965.235,1771811148.301
51,0.030637,0.020674,1771811148.301,1771811331.409
52,0.026658,0.021194,1771811331.409,1771811513.412
53,0.030946,0.020275,1771811513.413,1771811696.817
54,0.028029,0.021796,1771811696.818,1771811880.065
55,0.029267,0.020594,1771811880.065,1771812063.662
56,0.028830,0.020059,1771812063.662,1771812247.324
57,0.025702,0.020246,1771812247.325,1771812431.032
58,0.030892,0.020300,1771812431.033,1771812614.319
59,0.024919,0.020839,1771812614.320,1771812797.934
60,0.026598,0.019524,1771812797.935,1771812981.613
61,0.029434,0.022797,1771812981.613,1771813167.957
62,0.026553,0.019048,1771813167.957,1771813355.179
63,0.027108,0.021788,1771813359.373,1771813543.731
64,0.027763,0.019466,1771813543.731,1771813726.569
65,0.026993,0.020106,1771813726.570,1771813911.306
66,0.027017,0.020952,1771813911.307,1771814095.476
67,0.026355,0.020653,1771814095.477,1771814279.499
68,0.026080,0.020810,1771814279.499,1771814461.895
69,0.026373,0.019319,1771814461.896,1771814643.808
70,0.026885,0.023960,1771814643.809,1771814826.518
71,0.026831,0.019460,1771814826.518,1771815010.415
72,0.026016,0.019880,1771815010.416,1771815192.718
73,0.024815,0.020230,1771815192.719,1771815374.093
74,0.026820,0.019861,1771815374.094,1771815556.219
75,0.025093,0.023374,1771815556.219,1771815739.493
76,0.025455,0.020727,1771815739.493,1771815922.620
77,0.025951,0.023492,1771815922.620,1771816106.081
78,0.026950,0.021669,1771816106.081,1771816289.063
79,0.027429,0.019402,1771816289.064,1771816473.763
80,0.026132,0.022249,1771816473.764,1771816657.404
81,0.026495,0.019425,1771816657.405,1771816840.670
82,0.023809,0.020011,1771816840.671,1771817024.240
83,0.026286,0.020675,1771817024.240,1771817206.396
84,0.025943,0.019861,1771817206.397,1771817388.858
85,0.023410,0.019851,1771817388.859,1771817570.962
86,0.025702,0.020206,1771817570.962,1771817753.974
87,0.027544,0.022347,1771817753.975,1771817938.264
88,0.023587,0.020069,1771817938.264,1771818119.830
89,0.025073,0.031470,1771818119.830,1771818301.987
90,0.026605,0.019602,1771818301.987,1771818484.167
