epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.652802,0.198090,1773098754.098,1773098908.685
2,0.138666,0.049558,1773098912.678,1773099065.800
3,0.090857,0.044494,1773099069.667,1773099222.728
4,0.078300,0.037877,1773099226.448,1773099380.396
5,0.065324,0.036333,1773099383.917,1773099536.483
6,0.062236,0.033736,1773099540.070,1773099693.431
7,0.055840,0.030202,1773099697.298,1773099850.419
8,0.054167,0.029336,1773099854.385,1773100008.871
9,0.047996,0.027013,1773100012.877,1773100167.579
10,0.047737,0.028279,1773100171.664,1773100326.386
11,0.046035,0.025560,1773100326.387,1773100480.915
12,0.040883,0.025336,1773100484.763,1773100637.784
13,0.039950,0.025712,1773100641.556,1773100795.316
14,0.040932,0.023406,1773100795.317,1773100948.095
15,0.035030,0.022926,1773100951.610,1773101103.958
16,0.038395,0.025991,1773101108.027,1773101262.042
17,0.036447,0.022506,1773101262.042,1773101414.632
18,0.034873,0.023150,1773101418.606,1773101572.159
19,0.032989,0.026987,1773101572.159,1773101724.295
20,0.033754,0.022124,1773101724.295,1773101877.410
21,0.033450,0.020596,1773101881.450,1773102034.192
22,0.030317,0.021630,1773102038.202,1773102191.393
23,0.033154,0.021772,1773102191.394,1773102345.164
24,0.029107,0.020752,1773102345.164,1773102498.152
25,0.030817,0.055738,1773102498.152,1773102651.729
26,0.031210,0.020294,1773102651.730,1773102803.437
27,0.026709,0.019631,1773102807.336,1773102959.799
28,0.028796,0.020012,1773102963.874,1773103115.455
29,0.029415,0.021100,1773103115.455,1773103266.645
30,0.027956,0.020689,1773103266.646,1773103419.387
31,0.027853,0.021372,1773103419.388,1773103572.156
32,0.026437,0.019390,1773103572.156,1773103724.792
33,0.027122,0.018591,1773103728.774,1773103881.231
34,0.024368,0.021382,1773103885.105,1773104040.807
35,0.030132,0.026275,1773104040.807,1773104196.173
36,0.025619,0.020658,1773104196.174,1773104349.598
37,0.025587,0.020363,1773104349.599,1773104500.462
38,0.025245,0.019927,1773104500.464,1773104651.802
39,0.023896,0.021260,1773104651.803,1773104805.837
40,0.027702,0.022862,1773104805.838,1773104959.566
41,0.021599,0.017240,1773104959.566,1773105112.879
42,0.023507,0.019453,1773105116.893,1773105270.177
43,0.026171,0.018485,1773105270.177,1773105424.305
44,0.024954,0.018569,1773105424.305,1773105576.915
45,0.024804,0.018863,1773105576.916,1773105730.427
46,0.021674,0.017521,1773105730.427,1773105884.450
47,0.021550,0.020855,1773105884.450,1773106039.431
48,0.025793,0.020556,1773106039.431,1773106194.748
49,0.022914,0.018954,1773106194.749,1773106346.234
50,0.021902,0.019376,1773106346.234,1773106498.879
51,0.024212,0.019515,1773106498.879,1773106652.766
52,0.021315,0.020426,1773106652.767,1773106806.080
53,0.021927,0.020304,1773106806.080,1773106958.974
54,0.022724,0.022380,1773106958.974,1773107111.875
55,0.022955,0.020213,1773107111.875,1773107265.273
56,0.022192,0.019800,1773107265.273,1773107416.895
57,0.022006,0.017782,1773107416.895,1773107568.519
58,0.020741,0.019313,1773107568.520,1773107720.890
59,0.019543,0.018152,1773107720.890,1773107874.479
60,0.024721,0.018379,1773107874.480,1773108028.187
61,0.021521,0.022260,1773108028.187,1773108180.449
62,0.021782,0.018252,1773108180.450,1773108333.500
63,0.020026,0.021729,1773108333.501,1773108486.569
64,0.021586,0.018284,1773108486.569,1773108639.732
65,0.020738,0.019747,1773108639.733,1773108792.981
66,0.019721,0.017164,1773108792.982,1773108946.831
67,0.021532,0.019066,1773108950.793,1773109102.836
68,0.020049,0.018871,1773109102.837,1773109255.552
69,0.021530,0.017652,1773109255.552,1773109406.264
70,0.020502,0.023163,1773109406.265,1773109559.686
71,0.019538,0.018319,1773109559.687,1773109713.224
72,0.019935,0.017454,1773109713.224,1773109866.264
73,0.020151,0.021244,1773109866.265,1773110020.040
74,0.021949,0.017082,1773110020.040,1773110174.168
75,0.020019,0.017605,1773110178.264,1773110334.705
76,0.019976,0.017392,1773110334.705,1773110488.804
77,0.020180,0.018193,1773110488.805,1773110641.871
78,0.019712,0.018744,1773110641.872,1773110795.021
79,0.021722,0.017823,1773110795.022,1773110947.811
80,0.017216,0.017131,1773110947.811,1773111101.327
81,0.022064,0.017913,1773111101.328,1773111254.533
82,0.017870,0.017876,1773111254.534,1773111407.937
83,0.019794,0.020399,1773111407.938,1773111561.029
84,0.021445,0.018123,1773111561.029,1773111714.447
85,0.018572,0.018681,1773111714.447,1773111868.020
86,0.018099,0.017551,1773111868.021,1773112022.678
87,0.021399,0.017448,1773112022.678,1773112176.010
88,0.018353,0.018485,1773112176.010,1773112329.806
89,0.019842,0.017915,1773112329.806,1773112483.198
90,0.018205,0.018404,1773112483.199,1773112636.324
