epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,1.017260,0.409086,1776222491.504,1776222641.427
2,0.574816,0.314840,1776222647.162,1776222790.122
3,0.489047,0.285628,1776222795.957,1776222932.421
4,0.432869,0.274048,1776222937.946,1776223074.349
5,0.409317,0.267315,1776223079.839,1776223215.727
6,0.385677,0.258761,1776223221.266,1776223357.169
7,0.364750,0.247119,1776223363.032,1776223498.659
8,0.351779,0.236958,1776223504.055,1776223640.039
9,0.341549,0.246333,1776223645.422,1776223781.639
10,0.329339,0.241583,1776223781.640,1776223917.297
11,0.315976,0.233494,1776223917.297,1776224051.568
12,0.303816,0.227787,1776224056.985,1776224192.356
13,0.291449,0.230695,1776224197.695,1776224332.273
14,0.283507,0.236410,1776224332.274,1776224465.191
15,0.276052,0.234839,1776224465.191,1776224597.783
16,0.267467,0.233570,1776224597.783,1776224730.198
17,0.259542,0.225034,1776224730.198,1776224860.907
18,0.258383,0.225398,1776224866.597,1776225000.693
19,0.251237,0.225347,1776225000.693,1776225133.015
20,0.243786,0.223596,1776225133.015,1776225266.164
21,0.239698,0.229939,1776225271.547,1776225404.232
22,0.233660,0.229242,1776225404.232,1776225537.136
23,0.230304,0.245588,1776225537.136,1776225669.122
24,0.225833,0.227352,1776225669.122,1776225801.419
25,0.216164,0.235026,1776225801.419,1776225933.253
26,0.224154,0.230665,1776225933.253,1776226065.015
27,0.214113,0.235750,1776226065.015,1776226196.974
28,0.206897,0.237636,1776226196.974,1776226328.376
29,0.208386,0.232792,1776226328.376,1776226460.791
30,0.204383,0.234630,1776226460.791,1776226592.170
31,0.203137,0.227651,1776226592.170,1776226723.463
32,0.197933,0.241506,1776226723.463,1776226855.053
33,0.199481,0.238566,1776226855.054,1776226987.599
34,0.190723,0.237957,1776226987.599,1776227120.237
35,0.188782,0.240687,1776227120.238,1776227252.693
36,0.190686,0.238367,1776227252.694,1776227383.940
37,0.183249,0.242028,1776227383.941,1776227516.227
38,0.181515,0.237079,1776227516.228,1776227650.277
39,0.183426,0.238477,1776227650.277,1776227782.577
40,0.176327,0.247809,1776227782.578,1776227914.219
41,0.177599,0.246955,1776227914.219,1776228045.847
42,0.175323,0.246527,1776228045.847,1776228178.074
43,0.173824,0.244135,1776228178.074,1776228308.856
44,0.172767,0.242715,1776228308.856,1776228440.555
45,0.167483,0.248174,1776228440.556,1776228571.870
46,0.168442,0.245637,1776228571.870,1776228702.123
47,0.167194,0.244698,1776228702.123,1776228833.124
48,0.167316,0.243323,1776228833.124,1776228964.824
49,0.160377,0.247675,1776228964.824,1776229097.047
50,0.162716,0.244858,1776229097.047,1776229228.904
51,0.166680,0.248756,1776229228.905,1776229359.466
52,0.156856,0.246506,1776229359.467,1776229490.773
53,0.153509,0.243156,1776229490.774,1776229621.292
54,0.159707,0.247567,1776229621.293,1776229752.440
55,0.159306,0.244936,1776229752.440,1776229884.686
56,0.155983,0.250551,1776229884.686,1776230015.077
57,0.157739,0.252364,1776230015.077,1776230146.059
58,0.151840,0.246757,1776230146.059,1776230277.051
59,0.150354,0.248334,1776230277.051,1776230407.928
60,0.150309,0.258027,1776230407.929,1776230540.385
61,0.148517,0.251088,1776230540.385,1776230671.872
62,0.149299,0.250922,1776230671.872,1776230803.064
63,0.146147,0.258060,1776230803.065,1776230934.508
64,0.153175,0.253427,1776230934.508,1776231066.585
65,0.145172,0.252733,1776231066.585,1776231198.213
66,0.145345,0.251847,1776231198.213,1776231330.200
67,0.149532,0.258849,1776231330.200,1776231461.053
68,0.146147,0.260031,1776231461.053,1776231592.898
69,0.143044,0.253798,1776231592.899,1776231725.720
70,0.141874,0.262197,1776231725.720,1776231857.328
71,0.147201,0.257817,1776231857.328,1776231988.122
72,0.134470,0.259774,1776231988.122,1776232118.512
73,0.145305,0.252123,1776232118.513,1776232250.151
74,0.137765,0.253605,1776232250.152,1776232381.612
75,0.141122,0.254816,1776232381.612,1776232514.716
76,0.138141,0.262465,1776232514.716,1776232645.638
77,0.137989,0.263320,1776232645.638,1776232777.212
78,0.136855,0.256149,1776232777.213,1776232908.524
79,0.139216,0.262837,1776232908.525,1776233038.980
80,0.133590,0.260584,1776233038.980,1776233170.408
81,0.126589,0.266310,1776233170.408,1776233301.738
82,0.136094,0.257512,1776233301.738,1776233432.465
83,0.136521,0.261887,1776233432.465,1776233564.269
84,0.136860,0.263841,1776233564.270,1776233695.309
85,0.130255,0.264151,1776233695.309,1776233826.964
86,0.133627,0.264831,1776233826.964,1776233957.836
87,0.130381,0.259771,1776233957.836,1776234089.551
88,0.131872,0.266722,1776234089.551,1776234220.529
89,0.128508,0.269849,1776234220.530,1776234353.331
90,0.135710,0.268573,1776234353.331,1776234486.149
