epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.436181,0.065766,1771460714.743,1771460873.981
2,0.101049,0.059444,1771460878.723,1771461033.201
3,0.071470,0.040632,1771461038.072,1771461188.008
4,0.067586,0.045828,1771461192.878,1771461343.322
5,0.063359,0.032818,1771461343.323,1771461497.542
6,0.052636,0.048148,1771461502.518,1771461656.169
7,0.054140,0.035190,1771461656.170,1771461813.656
8,0.046955,0.031826,1771461813.657,1771461967.844
9,0.045789,0.026666,1771461972.480,1771462126.869
10,0.044136,0.029590,1771462131.744,1771462285.781
11,0.041861,0.027054,1771462285.782,1771462442.524
12,0.042667,0.026700,1771462442.525,1771462601.945
13,0.037466,0.025748,1771462601.947,1771462756.496
14,0.034995,0.025858,1771462761.416,1771462912.927
15,0.038617,0.031638,1771462912.928,1771463064.666
16,0.035081,0.027128,1771463064.666,1771463218.305
17,0.037496,0.023275,1771463218.306,1771463370.184
18,0.033510,0.024755,1771463374.810,1771463531.686
19,0.033676,0.025854,1771463531.687,1771463681.791
20,0.031818,0.023930,1771463681.792,1771463835.272
21,0.031705,0.023485,1771463835.272,1771463990.734
22,0.030368,0.024790,1771463990.734,1771464147.053
23,0.031025,0.024774,1771464147.053,1771464300.825
24,0.030753,0.020122,1771464300.826,1771464450.772
25,0.029356,0.041495,1771464455.572,1771464605.752
26,0.033442,0.022266,1771464605.753,1771464755.175
27,0.028104,0.025448,1771464755.176,1771464904.962
28,0.028878,0.020806,1771464904.963,1771465054.993
29,0.025604,0.020971,1771465054.993,1771465204.295
30,0.030365,0.023768,1771465204.296,1771465354.049
31,0.028540,0.021257,1771465354.049,1771465504.853
32,0.024484,0.024957,1771465504.853,1771465654.408
33,0.028192,0.020109,1771465654.408,1771465804.383
34,0.024706,0.022903,1771465809.180,1771465962.012
35,0.026404,0.020880,1771465962.012,1771466116.350
36,0.027380,0.019411,1771466116.351,1771466269.819
37,0.023712,0.020310,1771466274.408,1771466429.345
38,0.026052,0.021625,1771466429.346,1771466581.723
39,0.025649,0.025330,1771466581.723,1771466729.299
40,0.024442,0.020173,1771466729.299,1771466875.012
41,0.026273,0.021365,1771466875.013,1771467021.390
42,0.027819,0.021717,1771467021.391,1771467177.176
43,0.022714,0.020227,1771467177.177,1771467330.256
44,0.022165,0.019004,1771467330.257,1771467483.176
45,0.025914,0.022514,1771467487.617,1771467638.613
46,0.023422,0.020779,1771467638.613,1771467790.724
47,0.023853,0.020206,1771467790.724,1771467942.537
48,0.021786,0.020310,1771467942.538,1771468093.949
49,0.025352,0.021458,1771468093.950,1771468245.135
50,0.024122,0.020209,1771468245.136,1771468392.120
51,0.021989,0.018950,1771468392.121,1771468537.993
52,0.022839,0.020503,1771468542.763,1771468689.297
53,0.022530,0.018756,1771468689.298,1771468835.251
54,0.024357,0.020562,1771468839.774,1771468985.641
55,0.023497,0.018475,1771468985.641,1771469133.467
56,0.020176,0.020346,1771469138.598,1771469285.987
57,0.022423,0.028170,1771469285.988,1771469434.562
58,0.022603,0.024332,1771469434.563,1771469582.348
59,0.022132,0.022532,1771469582.349,1771469730.132
60,0.023499,0.020330,1771469730.132,1771469879.564
61,0.019668,0.021548,1771469879.565,1771470031.300
62,0.024200,0.018640,1771470031.301,1771470183.328
63,0.022362,0.019218,1771470183.329,1771470335.784
64,0.023371,0.019266,1771470335.784,1771470487.563
65,0.020067,0.019143,1771470487.563,1771470639.108
66,0.021132,0.019083,1771470639.109,1771470790.605
67,0.021759,0.020290,1771470790.606,1771470940.684
68,0.019611,0.023798,1771470940.685,1771471092.731
69,0.022105,0.018243,1771471092.732,1771471245.093
70,0.024537,0.018649,1771471249.695,1771471396.422
71,0.020186,0.019704,1771471396.423,1771471542.410
72,0.018868,0.019246,1771471542.410,1771471688.641
73,0.021173,0.019368,1771471688.641,1771471835.293
74,0.020243,0.018198,1771471835.294,1771471981.218
75,0.020098,0.030857,1771471986.004,1771472132.486
76,0.020855,0.018318,1771472132.486,1771472278.855
77,0.020432,0.020682,1771472278.855,1771472425.852
78,0.020215,0.018075,1771472425.852,1771472578.414
79,0.018651,0.018999,1771472583.249,1771472738.320
80,0.023027,0.019456,1771472738.320,1771472890.554
81,0.020652,0.018450,1771472890.555,1771473039.197
82,0.020273,0.019100,1771473039.198,1771473188.826
83,0.019821,0.020552,1771473188.826,1771473340.635
84,0.020301,0.020247,1771473340.636,1771473492.231
85,0.020908,0.019137,1771473492.232,1771473643.404
86,0.018061,0.019444,1771473643.404,1771473796.453
87,0.020003,0.018262,1771473796.454,1771473949.011
88,0.020276,0.019841,1771473949.012,1771474100.285
89,0.019435,0.017785,1771474100.285,1771474251.483
90,0.020178,0.018800,1771474256.568,1771474408.483
91,0.017873,0.018956,1771474408.483,1771474560.091
92,0.022204,0.019619,1771474560.092,1771474716.862
93,0.019274,0.019460,1771474716.863,1771474877.838
94,0.019691,0.018500,1771474877.838,1771475035.789
95,0.021454,0.019943,1771475035.789,1771475194.780
96,0.019772,0.018348,1771475194.781,1771475356.613
97,0.018178,0.018033,1771475356.614,1771475514.680
98,0.018699,0.019195,1771475514.680,1771475672.297
