epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.699943,0.106164,1771478602.692,1771478809.993
2,0.150804,0.058767,1771478814.076,1771479016.212
3,0.098071,0.052768,1771479020.179,1771479231.474
4,0.078306,0.038957,1771479235.586,1771479405.058
5,0.069866,0.037447,1771479408.899,1771479563.829
6,0.063789,0.034719,1771479567.764,1771479722.627
7,0.060994,0.031273,1771479726.386,1771479882.753
8,0.054627,0.029682,1771479886.780,1771480041.493
9,0.052411,0.031955,1771480045.706,1771480200.842
10,0.053031,0.029387,1771480200.842,1771480356.082
11,0.045534,0.028674,1771480360.134,1771480514.978
12,0.043624,0.025167,1771480518.857,1771480673.393
13,0.044069,0.030306,1771480677.322,1771480832.493
14,0.042186,0.027240,1771480832.494,1771480986.844
15,0.038159,0.027614,1771480986.844,1771481142.298
16,0.037989,0.025287,1771481142.299,1771481297.374
17,0.039308,0.024443,1771481297.374,1771481452.302
18,0.035462,0.023439,1771481456.264,1771481611.789
19,0.031004,0.024043,1771481615.809,1771481771.678
20,0.037742,0.025205,1771481771.679,1771481926.394
21,0.033462,0.028245,1771481926.395,1771482081.327
22,0.033022,0.022712,1771482081.328,1771482237.695
23,0.031764,0.022215,1771482241.702,1771482397.731
24,0.033125,0.021945,1771482401.777,1771482557.666
25,0.029943,0.021740,1771482561.750,1771482717.222
26,0.030388,0.021357,1771482721.267,1771482877.388
27,0.029216,0.020892,1771482881.467,1771483036.901
28,0.030431,0.025496,1771483041.132,1771483198.237
29,0.028690,0.022212,1771483198.237,1771483364.176
30,0.031167,0.021397,1771483364.176,1771483520.290
31,0.028371,0.021315,1771483520.291,1771483676.070
32,0.026838,0.019878,1771483676.071,1771483831.426
33,0.028098,0.020334,1771483835.361,1771483990.193
34,0.029113,0.020558,1771483990.194,1771484145.197
35,0.028478,0.018984,1771484145.197,1771484300.047
36,0.026154,0.020822,1771484304.105,1771484459.212
37,0.026251,0.021311,1771484459.212,1771484613.700
38,0.026966,0.020335,1771484613.700,1771484768.685
39,0.025288,0.020286,1771484768.685,1771484923.661
40,0.025732,0.020951,1771484923.662,1771485078.495
41,0.025230,0.026103,1771485078.495,1771485233.704
42,0.023407,0.020436,1771485233.704,1771485388.752
43,0.026019,0.020719,1771485388.753,1771485544.005
44,0.024655,0.019700,1771485544.005,1771485699.288
45,0.022775,0.019270,1771485699.288,1771485854.089
46,0.024509,0.020493,1771485854.089,1771486009.187
47,0.024242,0.021259,1771486009.187,1771486164.595
48,0.023609,0.021128,1771486164.596,1771486320.308
49,0.023396,0.023717,1771486320.309,1771486475.966
50,0.021952,0.018222,1771486475.966,1771486631.807
51,0.021101,0.019701,1771486635.495,1771486793.362
52,0.024573,0.020289,1771486793.362,1771486948.316
53,0.024498,0.019812,1771486948.317,1771487103.898
54,0.022129,0.029805,1771487103.898,1771487259.381
55,0.023873,0.019189,1771487259.381,1771487414.146
56,0.023678,0.020991,1771487414.146,1771487569.380
57,0.020774,0.019112,1771487569.380,1771487724.414
58,0.024221,0.019732,1771487724.415,1771487879.557
59,0.022017,0.019558,1771487879.557,1771488034.557
60,0.022563,0.019037,1771488034.557,1771488189.896
61,0.021461,0.019341,1771488189.897,1771488345.064
62,0.020239,0.020635,1771488345.064,1771488499.625
63,0.021174,0.020885,1771488499.626,1771488653.848
64,0.022951,0.021137,1771488653.849,1771488808.602
65,0.021266,0.019522,1771488808.602,1771488963.458
66,0.019997,0.020234,1771488963.458,1771489118.555
67,0.021989,0.020540,1771489118.556,1771489273.227
68,0.020890,0.019085,1771489273.228,1771489427.412
69,0.020128,0.019659,1771489427.412,1771489582.558
70,0.019308,0.018492,1771489582.558,1771489737.155
71,0.021203,0.019901,1771489737.156,1771489891.963
72,0.020710,0.017606,1771489891.964,1771490047.305
73,0.020114,0.019769,1771490051.269,1771490206.275
74,0.021609,0.018418,1771490206.276,1771490361.443
75,0.020552,0.017738,1771490361.443,1771490517.063
76,0.018621,0.021726,1771490517.064,1771490673.474
77,0.020389,0.020485,1771490673.474,1771490828.895
78,0.021700,0.018275,1771490828.896,1771490984.701
79,0.019190,0.019493,1771490984.702,1771491139.897
80,0.021258,0.019429,1771491139.897,1771491295.827
81,0.019352,0.019851,1771491295.828,1771491451.751
82,0.019915,0.019094,1771491451.752,1771491607.043
83,0.017943,0.018693,1771491607.043,1771491762.628
84,0.021391,0.018791,1771491762.628,1771491917.889
85,0.020404,0.019549,1771491917.890,1771492073.202
86,0.018600,0.018187,1771492073.203,1771492228.276
87,0.019677,0.018043,1771492228.277,1771492383.866
88,0.019589,0.018121,1771492383.867,1771492539.888
89,0.017808,0.019930,1771492539.889,1771492695.035
90,0.020939,0.021428,1771492695.035,1771492850.767
