epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,1.129336,0.267145,1771541779.284,1771541944.901
2,0.349762,0.108406,1771541948.777,1771542114.106
3,0.208301,0.074958,1771542117.972,1771542281.059
4,0.150942,0.066640,1771542284.835,1771542450.934
5,0.127289,0.055725,1771542454.693,1771542620.871
6,0.114430,0.046944,1771542624.641,1771542791.136
7,0.100877,0.042438,1771542794.946,1771542960.537
8,0.094123,0.041020,1771542964.533,1771543131.218
9,0.087291,0.038453,1771543135.229,1771543302.227
10,0.083996,0.038422,1771543306.055,1771543473.758
11,0.077174,0.037634,1771543477.695,1771543645.563
12,0.072931,0.037336,1771543649.635,1771543817.173
13,0.071729,0.038406,1771543821.076,1771543993.501
14,0.069171,0.032894,1771543993.501,1771544170.174
15,0.067062,0.034520,1771544173.830,1771544349.052
16,0.062661,0.038741,1771544349.052,1771544525.883
17,0.061719,0.031880,1771544525.883,1771544701.972
18,0.058161,0.030241,1771544705.679,1771544883.375
19,0.059373,0.030998,1771544887.025,1771545063.298
20,0.058472,0.030890,1771545063.299,1771545232.010
21,0.058696,0.037209,1771545232.010,1771545399.154
22,0.052845,0.031443,1771545399.154,1771545567.879
23,0.052634,0.031330,1771545567.879,1771545735.804
24,0.053782,0.029817,1771545735.804,1771545902.987
25,0.051983,0.029077,1771545906.752,1771546073.421
26,0.052008,0.026487,1771546077.212,1771546244.794
27,0.048972,0.030631,1771546248.613,1771546414.424
28,0.046069,0.029636,1771546414.424,1771546581.449
29,0.048805,0.028338,1771546581.449,1771546748.627
30,0.048734,0.027997,1771546748.628,1771546916.167
31,0.046782,0.027413,1771546916.167,1771547083.891
32,0.043512,0.027001,1771547083.891,1771547252.168
33,0.046499,0.026297,1771547252.168,1771547422.739
34,0.046097,0.033287,1771547426.400,1771547594.429
35,0.045569,0.025409,1771547594.430,1771547763.565
36,0.040692,0.026504,1771547767.474,1771547936.409
37,0.041549,0.026499,1771547936.410,1771548104.217
38,0.043535,0.027080,1771548104.218,1771548271.823
39,0.044209,0.026298,1771548271.824,1771548439.742
40,0.042149,0.024521,1771548439.743,1771548608.144
41,0.043129,0.025013,1771548611.999,1771548780.752
42,0.042229,0.024622,1771548780.752,1771548948.858
43,0.040620,0.026542,1771548948.858,1771549118.189
44,0.041503,0.025862,1771549118.189,1771549285.752
45,0.041127,0.025297,1771549285.753,1771549453.825
46,0.041281,0.025156,1771549453.826,1771549623.455
47,0.039187,0.025056,1771549623.456,1771549792.155
48,0.040785,0.023955,1771549792.155,1771549961.106
49,0.040198,0.027683,1771549964.906,1771550133.345
50,0.036786,0.023886,1771550133.345,1771550301.745
51,0.038987,0.027341,1771550305.618,1771550472.744
52,0.038849,0.024346,1771550472.744,1771550642.354
53,0.036488,0.024819,1771550642.355,1771550809.087
54,0.038749,0.023900,1771550809.088,1771550982.003
55,0.037867,0.034910,1771550982.003,1771551150.586
56,0.040048,0.023081,1771551150.587,1771551318.883
57,0.036775,0.024061,1771551322.796,1771551490.647
58,0.037548,0.022783,1771551490.647,1771551658.853
59,0.037423,0.024756,1771551662.737,1771551830.489
60,0.037550,0.023288,1771551830.489,1771551996.809
61,0.037484,0.022786,1771551996.809,1771552163.525
62,0.036988,0.022876,1771552163.526,1771552331.316
63,0.036963,0.026454,1771552331.317,1771552500.358
64,0.036888,0.022751,1771552500.359,1771552674.651
65,0.036709,0.024808,1771552678.350,1771552847.605
66,0.037393,0.023212,1771552847.605,1771553018.071
67,0.034839,0.023923,1771553018.072,1771553187.682
68,0.036607,0.024468,1771553187.682,1771553356.071
69,0.035968,0.024108,1771553356.072,1771553523.915
70,0.035059,0.022401,1771553523.915,1771553691.919
71,0.033704,0.023741,1771553695.745,1771553866.517
72,0.036336,0.022233,1771553866.518,1771554035.206
73,0.036965,0.022963,1771554039.126,1771554207.763
74,0.033223,0.023109,1771554207.764,1771554375.764
75,0.035103,0.022265,1771554375.765,1771554544.441
76,0.035919,0.023981,1771554544.441,1771554713.108
77,0.033033,0.023764,1771554713.109,1771554883.528
78,0.032666,0.024733,1771554883.529,1771555051.868
79,0.034074,0.023738,1771555051.869,1771555220.795
80,0.033673,0.023323,1771555220.796,1771555388.965
81,0.033708,0.022438,1771555388.966,1771555556.047
82,0.033822,0.023281,1771555556.048,1771555726.441
83,0.034170,0.024019,1771555726.441,1771555898.817
84,0.031802,0.022978,1771555898.817,1771556068.417
85,0.032979,0.022924,1771556068.417,1771556237.460
86,0.034858,0.022168,1771556237.460,1771556408.056
87,0.033955,0.023106,1771556411.924,1771556580.917
88,0.032324,0.023711,1771556580.917,1771556749.557
89,0.031810,0.021361,1771556749.557,1771556919.816
90,0.032157,0.023362,1771556923.217,1771557093.356
91,0.031485,0.022618,1771557093.356,1771557264.417
92,0.034126,0.027771,1771557264.418,1771557433.877
93,0.032558,0.023214,1771557433.877,1771557602.263
94,0.034341,0.024220,1771557602.264,1771557770.594
95,0.031883,0.022104,1771557770.595,1771557937.579
96,0.033501,0.022228,1771557937.579,1771558105.833
97,0.032553,0.025957,1771558105.834,1771558272.624
98,0.032380,0.022940,1771558272.625,1771558441.385
99,0.031930,0.021475,1771558441.386,1771558610.831
