epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.520813,0.068407,1771561704.321,1771561880.546
2,0.109313,0.045738,1771561884.093,1771562037.036
3,0.082913,0.040268,1771562040.855,1771562191.543
4,0.069133,0.038313,1771562195.223,1771562350.122
5,0.068632,0.033000,1771562353.954,1771562506.278
6,0.056938,0.032776,1771562510.017,1771562659.740
7,0.055667,0.031205,1771562663.297,1771562814.317
8,0.050785,0.029441,1771562818.186,1771562969.294
9,0.049280,0.036359,1771562973.412,1771563126.223
10,0.041266,0.026114,1771563126.224,1771563280.993
11,0.044164,0.030621,1771563284.948,1771563440.764
12,0.041960,0.025493,1771563440.765,1771563593.977
13,0.037714,0.025099,1771563597.962,1771563750.814
14,0.038126,0.029699,1771563754.638,1771563906.432
15,0.037651,0.025476,1771563906.432,1771564063.542
16,0.036552,0.029305,1771564063.542,1771564218.110
17,0.035304,0.027493,1771564218.111,1771564371.809
18,0.034948,0.024343,1771564371.810,1771564529.855
19,0.032272,0.025742,1771564533.410,1771564684.714
20,0.034483,0.031946,1771564684.715,1771564835.316
21,0.032175,0.026174,1771564835.317,1771564985.595
22,0.031438,0.022385,1771564985.595,1771565136.827
23,0.027408,0.021764,1771565140.631,1771565289.428
24,0.030899,0.026611,1771565293.602,1771565440.825
25,0.032868,0.021498,1771565440.825,1771565586.656
26,0.028763,0.021998,1771565590.440,1771565738.483
27,0.027431,0.022670,1771565738.483,1771565889.266
28,0.028360,0.021412,1771565889.267,1771566040.196
29,0.027333,0.021936,1771566044.285,1771566194.915
30,0.028329,0.020009,1771566194.916,1771566345.736
31,0.026037,0.022186,1771566349.795,1771566500.810
32,0.027102,0.020832,1771566500.811,1771566651.411
33,0.026564,0.020012,1771566651.412,1771566802.100
34,0.026694,0.021860,1771566802.101,1771566952.259
35,0.025085,0.021049,1771566952.260,1771567103.226
36,0.025701,0.019141,1771567103.226,1771567253.481
37,0.025835,0.020501,1771567257.424,1771567406.005
38,0.023229,0.019592,1771567406.005,1771567554.312
39,0.026046,0.029808,1771567554.312,1771567704.720
40,0.024199,0.021356,1771567704.721,1771567855.503
41,0.026243,0.022764,1771567855.504,1771568006.098
42,0.022533,0.021205,1771568006.098,1771568156.252
43,0.023919,0.020829,1771568156.252,1771568307.780
44,0.025324,0.020364,1771568307.781,1771568458.607
45,0.024492,0.019460,1771568458.608,1771568608.352
46,0.021275,0.021036,1771568608.352,1771568759.026
47,0.026920,0.019548,1771568759.026,1771568909.463
48,0.020213,0.019220,1771568909.463,1771569060.457
49,0.023153,0.022121,1771569060.458,1771569211.536
50,0.025125,0.021788,1771569211.536,1771569362.470
51,0.021941,0.018136,1771569362.471,1771569512.936
52,0.023014,0.019756,1771569516.836,1771569667.917
53,0.023853,0.020277,1771569667.918,1771569818.374
54,0.019735,0.017934,1771569818.375,1771569968.297
55,0.021255,0.019733,1771569972.122,1771570123.043
56,0.020550,0.017497,1771570123.044,1771570272.895
57,0.021841,0.019568,1771570276.911,1771570426.823
58,0.021231,0.019357,1771570426.824,1771570576.968
59,0.022332,0.019872,1771570576.968,1771570727.180
60,0.021593,0.021913,1771570727.180,1771570877.581
61,0.021498,0.018838,1771570877.582,1771571027.736
62,0.020994,0.018767,1771571027.737,1771571178.216
63,0.021405,0.019313,1771571178.217,1771571328.535
64,0.020611,0.019019,1771571328.535,1771571479.140
65,0.021422,0.018654,1771571479.140,1771571629.876
66,0.019777,0.018819,1771571629.877,1771571780.530
67,0.022160,0.018634,1771571780.530,1771571931.615
68,0.021558,0.017686,1771571931.615,1771572082.436
69,0.021751,0.018654,1771572082.437,1771572232.266
70,0.019556,0.019484,1771572232.267,1771572382.731
71,0.017912,0.018787,1771572382.732,1771572533.468
72,0.021669,0.019453,1771572533.468,1771572683.933
73,0.020197,0.021052,1771572683.934,1771572834.833
74,0.019417,0.018454,1771572834.834,1771572985.225
75,0.020505,0.021694,1771572985.226,1771573135.897
76,0.019827,0.019735,1771573135.898,1771573286.825
77,0.019868,0.018765,1771573286.825,1771573437.851
78,0.020264,0.017212,1771573437.852,1771573589.204
79,0.021546,0.020518,1771573593.007,1771573744.342
80,0.018738,0.020858,1771573744.343,1771573894.694
81,0.019848,0.020304,1771573894.695,1771574045.514
82,0.019361,0.018170,1771574045.514,1771574195.643
83,0.018565,0.019822,1771574195.644,1771574345.175
84,0.020701,0.017801,1771574345.176,1771574495.918
85,0.016860,0.019997,1771574495.918,1771574645.727
86,0.018417,0.019056,1771574645.727,1771574803.454
87,0.020774,0.018833,1771574803.454,1771574954.120
88,0.020216,0.018913,1771574954.121,1771575103.779
89,0.017433,0.018397,1771575103.779,1771575254.308
90,0.021058,0.021649,1771575254.308,1771575404.868
