epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.666137,0.095927,1771602789.149,1771602943.309
2,0.135048,0.053460,1771602947.310,1771603100.968
3,0.091880,0.044760,1771603105.046,1771603258.482
4,0.076092,0.042843,1771603262.544,1771603416.230
5,0.068892,0.037595,1771603420.134,1771603577.624
6,0.059253,0.035615,1771603581.369,1771603735.965
7,0.057186,0.032245,1771603739.953,1771603894.733
8,0.052803,0.029404,1771603898.798,1771604054.170
9,0.052091,0.029041,1771604058.191,1771604212.829
10,0.044827,0.031644,1771604216.916,1771604373.369
11,0.045822,0.026307,1771604373.369,1771604526.667
12,0.044227,0.026881,1771604530.708,1771604682.410
13,0.038439,0.025994,1771604682.410,1771604836.024
14,0.039972,0.025195,1771604840.124,1771604993.704
15,0.036630,0.024265,1771604997.751,1771605151.167
16,0.038881,0.024263,1771605155.119,1771605308.002
17,0.036709,0.022956,1771605311.958,1771605465.709
18,0.034205,0.026097,1771605469.692,1771605622.795
19,0.035841,0.024996,1771605622.795,1771605775.546
20,0.035136,0.023316,1771605775.546,1771605928.484
21,0.033291,0.022786,1771605928.484,1771606081.653
22,0.032365,0.025110,1771606085.760,1771606239.285
23,0.030250,0.021267,1771606239.286,1771606392.077
24,0.028391,0.022629,1771606395.926,1771606549.302
25,0.034710,0.022738,1771606549.302,1771606702.399
26,0.029923,0.028721,1771606702.400,1771606855.459
27,0.027111,0.021846,1771606855.459,1771607009.011
28,0.029745,0.020961,1771607009.011,1771607161.227
29,0.030279,0.022537,1771607165.412,1771607318.692
30,0.026060,0.021419,1771607318.693,1771607472.336
31,0.027758,0.022225,1771607472.336,1771607624.720
32,0.029345,0.019799,1771607624.721,1771607777.598
33,0.026854,0.022545,1771607781.520,1771607935.267
34,0.025775,0.020838,1771607935.268,1771608088.781
35,0.026924,0.020972,1771608088.782,1771608242.433
36,0.026183,0.020355,1771608242.433,1771608394.836
37,0.024714,0.023584,1771608394.836,1771608547.755
38,0.026725,0.022208,1771608547.755,1771608700.953
39,0.024367,0.020189,1771608700.953,1771608853.392
40,0.025414,0.019747,1771608853.392,1771609006.385
41,0.021379,0.018870,1771609010.218,1771609163.006
42,0.026268,0.020023,1771609166.928,1771609319.296
43,0.023278,0.019797,1771609319.297,1771609472.858
44,0.024624,0.021667,1771609472.858,1771609625.602
45,0.025490,0.021639,1771609625.602,1771609779.054
46,0.021435,0.023833,1771609779.055,1771609933.192
47,0.025447,0.021500,1771609933.193,1771610086.417
48,0.023310,0.021834,1771610086.418,1771610239.749
49,0.021879,0.020873,1771610239.749,1771610392.553
50,0.023760,0.020007,1771610392.554,1771610545.195
51,0.024818,0.020722,1771610545.195,1771610698.414
52,0.020871,0.035468,1771610698.414,1771610851.499
53,0.022316,0.019836,1771610851.499,1771611005.035
54,0.022966,0.020968,1771611005.036,1771611158.401
55,0.022811,0.018743,1771611158.401,1771611311.322
56,0.023952,0.019131,1771611315.299,1771611468.221
57,0.019346,0.019671,1771611468.222,1771611621.819
