epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.642251,0.092349,1771650137.930,1771650297.636
2,0.136329,0.051134,1771650301.430,1771650460.256
3,0.092500,0.049774,1771650463.930,1771650628.477
4,0.081208,0.037437,1771650632.276,1771650792.541
5,0.067834,0.050895,1771650796.411,1771650952.122
6,0.064432,0.034052,1771650952.123,1771651108.244
7,0.057613,0.031439,1771651112.288,1771651267.895
8,0.053088,0.030097,1771651271.715,1771651430.372
9,0.054224,0.029547,1771651434.046,1771651587.649
10,0.049884,0.027579,1771651591.560,1771651747.742
11,0.043424,0.028633,1771651751.622,1771651911.823
12,0.048305,0.025984,1771651911.823,1771652070.795
13,0.039812,0.026907,1771652074.682,1771652231.646
14,0.039615,0.025245,1771652231.646,1771652390.986
15,0.042089,0.025850,1771652394.978,1771652555.160
16,0.037766,0.023261,1771652555.161,1771652713.661
17,0.040332,0.023160,1771652717.385,1771652875.747
18,0.035686,0.024543,1771652879.509,1771653036.998
19,0.034685,0.023439,1771653036.999,1771653196.489
20,0.034631,0.023120,1771653196.490,1771653355.151
21,0.032256,0.022406,1771653358.868,1771653515.852
22,0.032905,0.023849,1771653519.781,1771653676.097
23,0.032764,0.022997,1771653676.098,1771653833.885
24,0.030066,0.021952,1771653833.886,1771653990.886
25,0.033295,0.027989,1771653994.909,1771654151.807
26,0.031721,0.021208,1771654151.808,1771654310.263
27,0.029528,0.025225,1771654314.096,1771654473.413
28,0.030549,0.021377,1771654473.414,1771654630.992
29,0.028386,0.025062,1771654630.993,1771654794.185
30,0.029416,0.020803,1771654794.186,1771654954.498
31,0.025954,0.021532,1771654958.366,1771655116.417
32,0.029262,0.021893,1771655116.418,1771655274.406
33,0.028241,0.019076,1771655274.406,1771655433.167
34,0.027149,0.018743,1771655436.990,1771655595.751
35,0.026792,0.022941,1771655599.781,1771655757.156
36,0.025642,0.022922,1771655757.157,1771655913.366
37,0.029037,0.019851,1771655913.367,1771656070.236
38,0.025505,0.021838,1771656070.236,1771656227.677
39,0.026489,0.021281,1771656227.678,1771656393.079
40,0.022687,0.018603,1771656393.079,1771656592.472
41,0.027872,0.019732,1771656596.144,1771656805.226
42,0.025195,0.020394,1771656805.227,1771657009.615
43,0.024202,0.020405,1771657009.616,1771657204.792
44,0.025444,0.019520,1771657204.792,1771657400.938
45,0.023990,0.022904,1771657400.938,1771657604.383
46,0.022280,0.018699,1771657604.383,1771657807.209
47,0.027656,0.019995,1771657807.209,1771658005.646
48,0.024806,0.020582,1771658005.646,1771658169.397
49,0.021530,0.018709,1771658169.398,1771658322.525
50,0.023999,0.018896,1771658322.525,1771658473.967
51,0.024327,0.019644,1771658473.967,1771658623.163
52,0.021471,0.021906,1771658623.163,1771658773.576
53,0.022726,0.018088,1771658773.576,1771658926.600
54,0.021532,0.019752,1771658930.740,1771659081.854
55,0.023072,0.020363,1771659081.854,1771659233.506
56,0.022855,0.022886,1771659233.507,1771659385.413
57,0.023505,0.019236,1771659385.413,1771659537.490
58,0.021087,0.018030,1771659537.491,1771659687.431
59,0.022625,0.021187,1771659691.468,1771659842.361
60,0.022606,0.017365,1771659842.362,1771660002.359
61,0.021634,0.019966,1771660006.192,1771660157.697
62,0.021607,0.020424,1771660157.698,1771660309.724
63,0.020878,0.020326,1771660309.725,1771660461.579
64,0.021362,0.018977,1771660461.579,1771660613.171
65,0.019446,0.021946,1771660613.171,1771660765.189
66,0.022416,0.017654,1771660765.189,1771660917.192
67,0.021056,0.018465,1771660917.193,1771661069.113
68,0.021507,0.019112,1771661069.113,1771661221.483
69,0.021329,0.017953,1771661221.483,1771661373.021
70,0.020530,0.018772,1771661373.021,1771661523.647
71,0.019121,0.018712,1771661523.648,1771661673.370
72,0.022282,0.020389,1771661673.371,1771661825.439
73,0.018287,0.031455,1771661825.440,1771661978.735
74,0.021380,0.018268,1771661978.736,1771662130.708
75,0.022384,0.020515,1771662130.708,1771662283.642
76,0.018306,0.018019,1771662283.642,1771662436.409
77,0.021627,0.018325,1771662436.409,1771662588.318
78,0.019470,0.018687,1771662588.319,1771662741.298
79,0.022379,0.018953,1771662741.298,1771662893.448
80,0.017996,0.017011,1771662893.449,1771663045.726
81,0.018352,0.018502,1771663049.602,1771663201.844
82,0.020654,0.020910,1771663201.845,1771663354.116
83,0.022418,0.017710,1771663354.116,1771663506.179
84,0.018883,0.021674,1771663506.179,1771663658.802
85,0.019971,0.019220,1771663658.803,1771663811.564
86,0.018893,0.018295,1771663811.564,1771663963.768
87,0.019425,0.020006,1771663963.769,1771664116.253
88,0.020147,0.019016,1771664116.253,1771664268.217
89,0.017732,0.019312,1771664268.217,1771664420.715
90,0.019556,0.020065,1771664420.715,1771664572.469
