epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.671095,0.098191,1771713637.267,1771713786.522
2,0.140467,0.065772,1771713790.238,1771713941.264
3,0.092193,0.042096,1771713945.166,1771714092.462
4,0.075522,0.039181,1771714096.118,1771714241.954
5,0.068728,0.042320,1771714245.641,1771714392.322
6,0.064592,0.032726,1771714392.323,1771714538.735
7,0.056062,0.031103,1771714542.466,1771714688.175
8,0.053496,0.030385,1771714691.851,1771714837.936
9,0.048885,0.032637,1771714841.738,1771714989.209
10,0.049843,0.028245,1771714989.210,1771715135.622
11,0.044397,0.027832,1771715139.454,1771715287.163
12,0.043409,0.028502,1771715290.898,1771715437.802
13,0.045376,0.028806,1771715437.803,1771715584.588
14,0.038876,0.024951,1771715584.588,1771715730.730
15,0.042321,0.024629,1771715734.510,1771715882.626
16,0.035620,0.024167,1771715886.545,1771716033.310
17,0.039866,0.024442,1771716037.096,1771716183.245
18,0.033675,0.023908,1771716183.245,1771716330.735
19,0.033498,0.022646,1771716334.428,1771716480.641
20,0.032834,0.023120,1771716484.284,1771716631.083
21,0.031553,0.024572,1771716631.083,1771716779.358
22,0.036296,0.022706,1771716779.358,1771716925.915
23,0.031977,0.022049,1771716925.915,1771717074.020
24,0.030035,0.024730,1771717077.927,1771717226.194
25,0.031264,0.025735,1771717226.194,1771717372.276
26,0.030435,0.022492,1771717372.277,1771717519.097
27,0.029065,0.020028,1771717519.098,1771717665.974
28,0.031843,0.021963,1771717669.636,1771717816.238
29,0.027539,0.023566,1771717816.239,1771717964.321
30,0.027804,0.026095,1771717964.321,1771718111.815
31,0.025550,0.021598,1771718111.815,1771718259.501
32,0.026979,0.023185,1771718259.502,1771718405.979
33,0.027555,0.021873,1771718405.980,1771718553.675
34,0.026778,0.021179,1771718553.676,1771718699.957
35,0.026597,0.022036,1771718699.957,1771718846.331
36,0.028450,0.021114,1771718846.331,1771718996.257
37,0.023645,0.023360,1771718996.258,1771719142.167
38,0.026955,0.021711,1771719142.168,1771719287.546
39,0.027068,0.020097,1771719287.547,1771719435.245
40,0.024511,0.020431,1771719435.246,1771719581.869
41,0.023256,0.019376,1771719581.870,1771719728.559
42,0.026825,0.020190,1771719732.288,1771719879.041
43,0.023699,0.019422,1771719879.042,1771720026.662
44,0.025638,0.019434,1771720026.662,1771720176.514
45,0.024449,0.018596,1771720176.515,1771720325.525
46,0.025226,0.018673,1771720329.459,1771720477.046
47,0.023540,0.018907,1771720477.047,1771720626.995
48,0.022623,0.019040,1771720626.995,1771720775.102
49,0.023456,0.019166,1771720775.103,1771720924.422
50,0.022288,0.019207,1771720924.422,1771721073.014
51,0.023402,0.019164,1771721073.014,1771721221.168
52,0.022265,0.018705,1771721221.169,1771721369.774
53,0.023061,0.020174,1771721369.774,1771721519.243
54,0.023246,0.020710,1771721519.243,1771721669.397
55,0.021393,0.019306,1771721669.398,1771721817.780
56,0.024888,0.019115,1771721817.781,1771721967.034
57,0.021435,0.035141,1771721967.035,1771722116.589
58,0.022530,0.021190,1771722116.590,1771722264.054
59,0.023665,0.018513,1771722264.054,1771722414.915
60,0.021298,0.018853,1771722418.588,1771722563.671
61,0.022492,0.019867,1771722563.672,1771722711.787
62,0.020757,0.018587,1771722711.787,1771722858.315
63,0.021539,0.020468,1771722858.316,1771723005.259
64,0.021952,0.021849,1771723005.259,1771723151.658
65,0.019482,0.018345,1771723151.659,1771723301.865
66,0.018978,0.022692,1771723305.611,1771723452.725
67,0.024766,0.018568,1771723452.726,1771723599.287
68,0.018204,0.018389,1771723599.287,1771723746.282
69,0.021233,0.020930,1771723746.282,1771723894.164
70,0.022338,0.018232,1771723894.165,1771724039.304
71,0.020609,0.018265,1771724043.155,1771724188.336
72,0.021158,0.019021,1771724188.337,1771724333.848
73,0.017324,0.018716,1771724333.848,1771724478.475
74,0.020712,0.018933,1771724478.476,1771724622.916
75,0.021129,0.019204,1771724622.917,1771724770.622
76,0.020702,0.018900,1771724770.623,1771724915.871
77,0.020446,0.019975,1771724915.871,1771725060.081
78,0.018113,0.019293,1771725060.082,1771725205.639
79,0.021969,0.019849,1771725205.639,1771725350.602
80,0.020221,0.019048,1771725350.603,1771725498.005
81,0.020320,0.018504,1771725498.006,1771725646.145
82,0.018596,0.021168,1771725646.146,1771725793.526
83,0.021776,0.023789,1771725793.526,1771725939.833
84,0.022273,0.018694,1771725939.834,1771726086.100
85,0.019114,0.016927,1771726086.101,1771726232.026
86,0.016507,0.018805,1771726235.841,1771726382.347
87,0.022111,0.018076,1771726382.348,1771726529.376
88,0.019520,0.018018,1771726529.377,1771726675.380
89,0.016585,0.022147,1771726675.381,1771726823.320
90,0.021609,0.019548,1771726823.321,1771726969.878
91,0.020817,0.017530,1771726969.878,1771727115.480
92,0.018758,0.021332,1771727115.481,1771727261.989
93,0.019883,0.019001,1771727261.989,1771727409.803
94,0.018813,0.019272,1771727409.804,1771727557.847
95,0.017746,0.018530,1771727557.848,1771727703.625
