epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.682833,0.095014,1771697405.749,1771697548.718
2,0.151189,0.065567,1771697552.447,1771697696.015
3,0.099493,0.044538,1771697699.891,1771697842.428
4,0.080449,0.038545,1771697846.187,1771697988.565
5,0.072099,0.037728,1771697992.231,1771698135.309
6,0.067323,0.033204,1771698139.202,1771698282.625
7,0.060795,0.032219,1771698286.468,1771698430.500
8,0.055432,0.029343,1771698434.326,1771698579.598
9,0.053381,0.029838,1771698583.623,1771698728.863
10,0.050743,0.031013,1771698728.864,1771698872.824
11,0.050174,0.028089,1771698872.825,1771699016.509
12,0.044123,0.030262,1771699020.328,1771699163.466
13,0.042362,0.030670,1771699163.468,1771699305.520
14,0.046084,0.029634,1771699305.520,1771699449.546
15,0.039558,0.025810,1771699449.547,1771699595.444
16,0.041700,0.024203,1771699599.306,1771699741.378
17,0.037272,0.026693,1771699745.021,1771699888.534
18,0.034748,0.031105,1771699888.535,1771700031.921
19,0.036272,0.021568,1771700031.922,1771700175.166
20,0.034813,0.023852,1771700178.827,1771700321.936
21,0.033737,0.022623,1771700321.936,1771700464.558
22,0.033068,0.023080,1771700464.558,1771700606.795
23,0.035377,0.022874,1771700606.796,1771700748.578
24,0.030744,0.022014,1771700748.579,1771700891.381
25,0.034272,0.025125,1771700891.382,1771701032.775
26,0.033762,0.023578,1771701032.775,1771701174.461
27,0.028708,0.021944,1771701174.461,1771701317.091
28,0.031828,0.021599,1771701317.092,1771701457.815
29,0.030793,0.025040,1771701457.816,1771701598.833
30,0.028010,0.021711,1771701598.834,1771701741.611
31,0.030158,0.021931,1771701741.611,1771701883.529
32,0.030022,0.020831,1771701883.530,1771702025.566
33,0.027988,0.031759,1771702029.179,1771702172.067
34,0.028512,0.024718,1771702172.067,1771702314.567
35,0.029775,0.021109,1771702314.567,1771702455.733
36,0.028089,0.019927,1771702455.734,1771702598.607
37,0.025776,0.020135,1771702602.150,1771702744.599
38,0.028121,0.021114,1771702744.600,1771702886.347
39,0.027725,0.023189,1771702886.347,1771703028.172
40,0.023169,0.022326,1771703028.173,1771703170.303
41,0.024916,0.023266,1771703170.304,1771703311.731
42,0.026096,0.020368,1771703311.732,1771703454.294
43,0.025836,0.023200,1771703454.295,1771703596.503
44,0.025351,0.021654,1771703596.504,1771703738.053
45,0.025902,0.021093,1771703738.054,1771703880.237
46,0.025888,0.020078,1771703880.238,1771704022.313
47,0.024334,0.022676,1771704022.313,1771704165.067
48,0.025695,0.021943,1771704165.068,1771704307.044
49,0.026602,0.019577,1771704307.044,1771704449.221
50,0.024931,0.019062,1771704452.829,1771704594.596
51,0.022483,0.018686,1771704598.234,1771704740.232
52,0.023596,0.019895,1771704743.994,1771704886.547
53,0.021817,0.018882,1771704886.547,1771705028.491
54,0.024618,0.018598,1771705028.491,1771705170.560
55,0.025839,0.020124,1771705174.170,1771705317.001
56,0.022022,0.019518,1771705317.001,1771705458.845
57,0.024128,0.021077,1771705458.845,1771705601.273
58,0.023132,0.018926,1771705601.273,1771705743.665
59,0.023539,0.019798,1771705743.666,1771705886.615
60,0.022417,0.019295,1771705886.616,1771706029.264
61,0.020236,0.019800,1771706029.265,1771706172.766
62,0.025788,0.019342,1771706172.767,1771706317.696
63,0.020237,0.018894,1771706317.696,1771706461.695
64,0.021037,0.020872,1771706461.695,1771706605.079
65,0.026835,0.020141,1771706605.080,1771706747.461
66,0.019746,0.020006,1771706747.461,1771706889.480
67,0.021511,0.021779,1771706889.481,1771707031.562
68,0.023587,0.019956,1771707031.562,1771707174.572
69,0.019922,0.018936,1771707174.572,1771707315.515
70,0.022947,0.018951,1771707315.516,1771707457.924
71,0.020666,0.020632,1771707457.924,1771707601.009
72,0.023082,0.021027,1771707601.010,1771707742.924
73,0.021755,0.018260,1771707742.925,1771707884.806
74,0.021076,0.019817,1771707888.634,1771708031.196
75,0.020222,0.019464,1771708031.197,1771708172.826
76,0.022028,0.023022,1771708172.826,1771708315.537
77,0.023715,0.020914,1771708315.538,1771708458.617
78,0.019225,0.020258,1771708458.618,1771708600.531
79,0.019767,0.019226,1771708600.532,1771708744.435
80,0.020434,0.018517,1771708744.436,1771708888.970
81,0.022356,0.019994,1771708888.971,1771709033.165
82,0.020510,0.019440,1771709033.165,1771709177.450
83,0.021511,0.019858,1771709177.451,1771709322.232
84,0.019881,0.020531,1771709322.232,1771709466.455
85,0.021865,0.020516,1771709466.455,1771709611.142
86,0.020260,0.020764,1771709611.143,1771709756.305
87,0.021557,0.018819,1771709756.305,1771709900.249
88,0.019394,0.019541,1771709900.249,1771710043.544
89,0.019680,0.019952,1771710043.545,1771710187.815
90,0.021322,0.020775,1771710187.815,1771710331.421
