epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.710943,0.155664,1771729657.343,1771729806.239
2,0.150123,0.057141,1771729810.160,1771729956.376
3,0.093892,0.042283,1771729959.997,1771730105.026
4,0.078033,0.045844,1771730108.513,1771730254.616
5,0.070552,0.064915,1771730254.617,1771730400.699
6,0.066205,0.035357,1771730400.699,1771730545.688
7,0.064967,0.032791,1771730549.227,1771730693.839
8,0.053307,0.032543,1771730697.500,1771730845.079
9,0.050327,0.032617,1771730848.712,1771730997.693
10,0.052226,0.033113,1771730997.693,1771731147.779
11,0.044261,0.031492,1771731147.779,1771731296.928
12,0.045114,0.026907,1771731300.652,1771731451.074
13,0.044440,0.032095,1771731454.822,1771731603.366
14,0.040683,0.024872,1771731603.366,1771731750.045
15,0.037306,0.026474,1771731753.857,1771731904.187
16,0.042996,0.026161,1771731904.188,1771732054.933
17,0.035217,0.049958,1771732054.934,1771732202.551
18,0.037343,0.032357,1771732202.552,1771732349.281
19,0.039517,0.023017,1771732349.282,1771732497.187
20,0.033549,0.023060,1771732500.772,1771732648.877
21,0.032915,0.022815,1771732648.878,1771732796.573
22,0.035061,0.023131,1771732800.181,1771732948.177
23,0.032580,0.021420,1771732948.178,1771733094.843
24,0.031810,0.022704,1771733098.732,1771733246.461
25,0.033502,0.021763,1771733246.462,1771733393.073
26,0.029173,0.023874,1771733393.073,1771733538.626
27,0.029609,0.020597,1771733538.627,1771733684.223
28,0.029669,0.021574,1771733687.985,1771733833.331
29,0.027669,0.022689,1771733833.332,1771733978.997
30,0.030041,0.020843,1771733978.997,1771734123.686
31,0.030223,0.022066,1771734123.686,1771734269.354
32,0.027220,0.019579,1771734269.354,1771734415.216
33,0.027765,0.020514,1771734418.996,1771734564.399
34,0.028184,0.022042,1771734564.400,1771734709.680
35,0.027045,0.020615,1771734709.681,1771734854.833
36,0.026861,0.021791,1771734854.833,1771734999.298
37,0.029417,0.021260,1771734999.299,1771735144.431
38,0.025982,0.020553,1771735144.431,1771735289.723
39,0.026236,0.020620,1771735289.724,1771735435.092
40,0.027686,0.021700,1771735435.092,1771735579.865
41,0.024290,0.021326,1771735579.865,1771735726.000
42,0.026979,0.020608,1771735726.001,1771735870.018
43,0.024841,0.024300,1771735870.019,1771736014.396
44,0.024127,0.020299,1771736014.396,1771736158.764
45,0.024685,0.021003,1771736158.764,1771736304.228
46,0.023296,0.019326,1771736304.228,1771736449.779
47,0.024445,0.020244,1771736453.397,1771736599.716
48,0.024672,0.021072,1771736599.716,1771736745.128
49,0.024185,0.020393,1771736745.129,1771736889.499
50,0.021223,0.019997,1771736889.499,1771737034.452
51,0.025094,0.020467,1771737034.452,1771737180.286
52,0.022653,0.019201,1771737180.287,1771737326.246
53,0.023826,0.021195,1771737329.693,1771737474.367
54,0.021988,0.020534,1771737474.367,1771737619.484
55,0.022357,0.018482,1771737619.485,1771737764.396
56,0.022871,0.020067,1771737768.031,1771737913.973
57,0.023862,0.020476,1771737913.973,1771738059.988
58,0.019956,0.019724,1771738059.989,1771738204.801
59,0.023103,0.018482,1771738204.802,1771738352.115
60,0.020933,0.019095,1771738352.115,1771738497.554
61,0.023913,0.020150,1771738497.554,1771738641.982
62,0.021950,0.020723,1771738641.983,1771738787.490
63,0.023206,0.018708,1771738787.491,1771738933.305
64,0.020629,0.019117,1771738933.306,1771739078.287
65,0.020790,0.018169,1771739078.287,1771739223.398
66,0.020577,0.020202,1771739226.828,1771739373.083
67,0.020892,0.020313,1771739373.083,1771739517.801
68,0.021277,0.019371,1771739517.801,1771739662.662
69,0.021173,0.019449,1771739662.662,1771739807.164
70,0.019712,0.018489,1771739807.165,1771739951.583
71,0.020404,0.019262,1771739951.584,1771740097.109
72,0.020084,0.019542,1771740097.110,1771740243.426
73,0.020224,0.019407,1771740243.426,1771740388.460
74,0.022955,0.019296,1771740388.461,1771740533.483
75,0.021517,0.020724,1771740533.484,1771740678.517
76,0.020240,0.018768,1771740678.518,1771740823.866
77,0.021449,0.018440,1771740823.867,1771740969.300
78,0.020103,0.018593,1771740969.300,1771741114.536
79,0.018493,0.019564,1771741114.537,1771741258.998
80,0.018662,0.019362,1771741258.998,1771741404.294
81,0.022765,0.018375,1771741404.294,1771741549.525
82,0.019743,0.019434,1771741549.525,1771741694.080
83,0.017907,0.020622,1771741694.080,1771741838.665
84,0.020125,0.030446,1771741838.666,1771741984.174
85,0.018550,0.021562,1771741984.175,1771742128.888
86,0.021709,0.024375,1771742128.888,1771742274.028
87,0.019669,0.018548,1771742274.028,1771742419.266
88,0.017013,0.018246,1771742419.266,1771742563.731
89,0.021632,0.018904,1771742563.731,1771742708.425
90,0.018349,0.018593,1771742708.426,1771742853.839
