epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.526933,0.074708,1773182253.133,1773182410.719
2,0.112668,0.046179,1773182414.940,1773182571.593
3,0.083219,0.043085,1773182575.753,1773182732.197
4,0.072172,0.035061,1773182736.510,1773182893.080
5,0.062490,0.036676,1773182897.319,1773183054.008
6,0.058645,0.035399,1773183054.008,1773183209.802
7,0.057635,0.041016,1773183209.802,1773183365.480
8,0.052017,0.026367,1773183365.480,1773183520.586
9,0.048100,0.027785,1773183524.560,1773183680.647
10,0.047194,0.026118,1773183680.647,1773183835.710
11,0.042215,0.025523,1773183839.783,1773183996.393
12,0.039325,0.025015,1773184000.527,1773184155.662
13,0.041917,0.025264,1773184159.823,1773184316.345
14,0.039012,0.023871,1773184316.345,1773184473.018
15,0.036526,0.022875,1773184477.070,1773184632.719
16,0.038539,0.025042,1773184636.721,1773184790.323
17,0.037138,0.022094,1773184790.323,1773184945.132
18,0.033528,0.023240,1773184948.975,1773185105.464
19,0.033705,0.022773,1773185105.464,1773185261.049
20,0.033269,0.022172,1773185261.050,1773185417.006
21,0.030467,0.021384,1773185417.007,1773185573.439
22,0.031572,0.020752,1773185577.670,1773185735.697
23,0.031898,0.024406,1773185739.810,1773185894.823
24,0.029652,0.023745,1773185894.824,1773186049.559
25,0.029964,0.021814,1773186049.559,1773186205.041
26,0.030350,0.021093,1773186205.041,1773186359.835
27,0.029540,0.019952,1773186359.836,1773186515.993
28,0.027139,0.019329,1773186520.010,1773186677.900
29,0.028063,0.021604,1773186682.063,1773186839.113
30,0.030698,0.022300,1773186839.113,1773186994.579
31,0.027396,0.020232,1773186994.579,1773187149.698
32,0.024865,0.021415,1773187149.699,1773187305.568
33,0.030105,0.020645,1773187305.569,1773187460.485
34,0.025676,0.021145,1773187460.486,1773187617.190
35,0.028012,0.021996,1773187617.191,1773187772.389
36,0.027479,0.020072,1773187772.390,1773187927.917
37,0.024327,0.022899,1773187927.918,1773188081.411
38,0.024489,0.020559,1773188081.412,1773188235.543
39,0.026183,0.019202,1773188235.544,1773188391.066
40,0.025647,0.020222,1773188395.168,1773188549.655
41,0.026190,0.027424,1773188549.655,1773188704.442
42,0.023058,0.019490,1773188704.442,1773188859.132
43,0.025801,0.018189,1773188859.133,1773189013.402
44,0.023859,0.020653,1773189017.704,1773189172.516
45,0.024691,0.019669,1773189172.517,1773189327.015
46,0.024132,0.019007,1773189327.016,1773189483.756
47,0.022021,0.019007,1773189483.757,1773189639.690
48,0.024188,0.017443,1773189639.690,1773189795.312
49,0.023226,0.019736,1773189799.848,1773189955.362
50,0.021896,0.020110,1773189955.363,1773190110.919
51,0.024347,0.019091,1773190110.920,1773190267.785
52,0.020951,0.019664,1773190267.786,1773190422.435
53,0.021511,0.019251,1773190422.435,1773190576.674
54,0.021031,0.028759,1773190576.675,1773190731.644
55,0.024752,0.019250,1773190731.645,1773190887.661
56,0.020626,0.018188,1773190887.662,1773191044.058
57,0.023829,0.020022,1773191044.058,1773191201.135
58,0.022631,0.018792,1773191201.135,1773191356.275
59,0.022496,0.020354,1773191356.275,1773191509.735
60,0.021214,0.018590,1773191509.736,1773191664.724
61,0.020759,0.020280,1773191664.725,1773191819.439
62,0.022613,0.020441,1773191819.440,1773191974.285
63,0.020125,0.019077,1773191974.285,1773192128.703
64,0.021567,0.018254,1773192128.704,1773192282.856
65,0.022400,0.018146,1773192282.856,1773192437.597
66,0.019413,0.018315,1773192437.598,1773192591.843
67,0.020325,0.027121,1773192591.844,1773192747.079
68,0.022972,0.018330,1773192747.080,1773192902.642
69,0.019093,0.019632,1773192902.643,1773193058.874
70,0.019124,0.018589,1773193058.875,1773193215.025
71,0.022175,0.018481,1773193215.026,1773193371.243
72,0.021122,0.020379,1773193371.244,1773193527.704
73,0.018620,0.019431,1773193527.705,1773193684.606
74,0.021205,0.018943,1773193684.607,1773193839.939
75,0.020349,0.018036,1773193839.939,1773193995.776
76,0.018925,0.019688,1773193995.777,1773194151.013
77,0.020365,0.019112,1773194151.014,1773194306.850
78,0.019986,0.018847,1773194306.851,1773194463.115
79,0.020028,0.019960,1773194463.115,1773194618.631
80,0.020423,0.018603,1773194618.632,1773194774.875
81,0.020238,0.017774,1773194774.876,1773194930.556
82,0.017872,0.017318,1773194930.557,1773195085.319
83,0.018789,0.019399,1773195089.382,1773195244.172
84,0.020286,0.019020,1773195244.173,1773195398.513
85,0.019453,0.017394,1773195398.514,1773195552.964
86,0.018392,0.019947,1773195552.964,1773195708.377
87,0.020034,0.019605,1773195708.377,1773195864.837
88,0.018061,0.018656,1773195864.838,1773196021.502
89,0.021157,0.018527,1773196021.503,1773196177.207
90,0.018359,0.017503,1773196177.207,1773196333.633
91,0.019168,0.018321,1773196333.633,1773196489.716
92,0.017313,0.019882,1773196489.717,1773196646.059
