epoch,train_loss,val_loss,epoch_start_ts,epoch_end_ts
1,0.527108,0.066461,1771753718.322,1771753868.261
2,0.107193,0.044860,1771753872.222,1771754020.090
3,0.082508,0.050212,1771754023.953,1771754171.554
4,0.074073,0.034534,1771754171.554,1771754317.788
5,0.060326,0.034918,1771754321.783,1771754467.986
6,0.062180,0.050392,1771754467.986,1771754615.071
7,0.053116,0.027643,1771754615.072,1771754761.835
8,0.052856,0.031748,1771754765.593,1771754912.572
9,0.050914,0.027713,1771754912.573,1771755059.003
10,0.044263,0.025050,1771755059.003,1771755206.252
11,0.042629,0.030529,1771755210.159,1771755356.689
12,0.043022,0.025129,1771755356.690,1771755502.980
13,0.042781,0.024437,1771755502.981,1771755649.806
14,0.040138,0.026343,1771755653.430,1771755799.470
15,0.036619,0.025347,1771755799.471,1771755945.604
16,0.034265,0.023013,1771755945.605,1771756091.581
17,0.037695,0.028137,1771756095.705,1771756241.833
18,0.035740,0.022669,1771756241.834,1771756390.051
19,0.032901,0.021212,1771756393.800,1771756540.858
20,0.032839,0.020887,1771756544.666,1771756691.089
21,0.032962,0.030782,1771756695.117,1771756841.902
22,0.036519,0.022292,1771756841.902,1771756988.803
23,0.027807,0.021280,1771756988.804,1771757134.781
24,0.031152,0.024531,1771757134.782,1771757281.472
25,0.030667,0.022613,1771757281.473,1771757429.116
26,0.030098,0.020942,1771757429.117,1771757575.181
27,0.029364,0.021884,1771757575.182,1771757721.973
28,0.030773,0.023250,1771757721.973,1771757868.840
29,0.026243,0.025203,1771757868.840,1771758015.120
30,0.029396,0.020987,1771758015.121,1771758162.772
31,0.027458,0.027215,1771758162.773,1771758310.900
32,0.026915,0.019501,1771758310.900,1771758457.324
33,0.028813,0.019477,1771758461.352,1771758608.006
34,0.029845,0.024216,1771758612.193,1771758758.627
35,0.024463,0.024140,1771758758.628,1771758904.419
36,0.028048,0.027984,1771758904.419,1771759050.677
37,0.025619,0.021360,1771759050.678,1771759197.622
38,0.027999,0.019490,1771759197.623,1771759343.673
39,0.022288,0.019466,1771759343.673,1771759490.217
40,0.025200,0.019500,1771759494.287,1771759641.161
41,0.025575,0.018400,1771759641.161,1771759786.944
42,0.022375,0.019289,1771759790.829,1771759938.621
43,0.026877,0.020308,1771759938.621,1771760085.409
44,0.023861,0.019858,1771760085.409,1771760231.198
45,0.024656,0.019382,1771760231.199,1771760376.897
46,0.023885,0.019299,1771760376.898,1771760523.569
47,0.025651,0.019201,1771760523.570,1771760670.686
48,0.020712,0.019340,1771760670.686,1771760816.749
49,0.025646,0.019576,1771760816.750,1771760963.466
50,0.025525,0.021284,1771760963.467,1771761109.869
51,0.021767,0.018018,1771761109.870,1771761255.856
52,0.020617,0.018221,1771761260.110,1771761407.428
53,0.025836,0.021487,1771761407.428,1771761553.479
54,0.021515,0.020723,1771761553.480,1771761700.450
55,0.022031,0.019035,1771761700.451,1771761847.970
56,0.023642,0.019254,1771761847.970,1771761994.937
57,0.020748,0.018327,1771761994.938,1771762141.368
58,0.023026,0.018707,1771762141.368,1771762287.677
59,0.020885,0.018365,1771762287.678,1771762433.488
60,0.019716,0.020781,1771762433.489,1771762579.250
61,0.022905,0.020636,1771762579.251,1771762726.149
62,0.023285,0.018342,1771762726.150,1771762872.126
63,0.021386,0.023782,1771762872.126,1771763017.798
64,0.020763,0.027417,1771763017.798,1771763164.497
65,0.019438,0.020265,1771763164.498,1771763311.003
66,0.021189,0.018040,1771763311.003,1771763456.160
67,0.022978,0.020384,1771763456.161,1771763603.437
68,0.020091,0.018205,1771763603.438,1771763749.853
69,0.020358,0.020498,1771763749.853,1771763896.002
70,0.023809,0.018862,1771763896.003,1771764042.632
71,0.019999,0.022324,1771764042.632,1771764189.291
72,0.019175,0.020099,1771764189.292,1771764334.871
73,0.021214,0.018936,1771764334.872,1771764480.905
74,0.021449,0.019839,1771764480.906,1771764626.753
75,0.019227,0.017684,1771764626.753,1771764772.741
76,0.019472,0.017778,1771764776.609,1771764923.249
77,0.020217,0.018364,1771764923.250,1771765069.112
78,0.019521,0.017226,1771765069.112,1771765215.335
79,0.020333,0.018632,1771765219.082,1771765366.800
80,0.021111,0.021061,1771765366.801,1771765513.718
81,0.018048,0.017762,1771765513.719,1771765660.681
82,0.020216,0.018308,1771765660.681,1771765810.185
83,0.018179,0.019630,1771765810.185,1771765959.004
84,0.020890,0.018993,1771765959.004,1771766106.481
85,0.020783,0.018420,1771766106.482,1771766256.074
86,0.017815,0.018165,1771766256.074,1771766407.367
87,0.021735,0.020018,1771766407.368,1771766557.576
88,0.021237,0.017056,1771766557.577,1771766711.349
89,0.017466,0.016534,1771766715.128,1771766864.700
90,0.020189,0.018054,1771766868.926,1771767018.077
91,0.019550,0.018610,1771767018.078,1771767168.737
92,0.018917,0.019246,1771767168.738,1771767318.905
93,0.018111,0.018492,1771767318.906,1771767469.121
94,0.019470,0.017453,1771767469.122,1771767620.542
95,0.021705,0.018041,1771767620.543,1771767771.052
96,0.018342,0.018175,1771767771.053,1771767921.141
97,0.017893,0.017824,1771767921.142,1771768072.292
98,0.020569,0.018303,1771768072.293,1771768222.400
99,0.019204,0.019047,1771768222.401,1771768371.771
